comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,F_I,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.010345478506050906,0.004837191851779329,0.010345478506050906,0.004837191851779329,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.007774295196114204,0.005374146786187494,0.007774295196114204,0.005374146786187494,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.008629864700555897,0.004156418437316248,0.008629864700555897,0.004156418437316248,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.009191306571119218,0.0034500970530366047,0.009191306571119218,0.0034500970530366047,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.009869175300991703,0.0033986000252819518,0.009869175300991703,0.0033986000252819518,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation,False,3,3,True,0.00962544171445053,0.0035028306932200055,0.00962544171445053,0.0035028306932200055,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.00924653245234334,0.009793035389696008,0.00924653245234334,0.009793035389696008,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.005236081575345386,0.006927441098015346,0.005236081575345386,0.006927441098015346,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.0071031325841167114,0.004972575633699091,0.0071031325841167114,0.004972575633699091,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.008637264009666745,0.009252261816254615,0.008637264009666745,0.009252261816254615,3,True,False,
