source,p,seed,weight,kind,endpoint,value
E,1.0,1,unweighted,utility_loss,public_coverage,0.5040753682789849
E,1.0,1,unweighted,utility_loss,commute_over20,0.6900674283001351
E,1.0,1,unweighted,absolute_recovery,A/public_coverage,0.06804968575133752
E,1.0,1,unweighted,absolute_recovery,A/commute_over20,0.014950214189786037
E,1.0,1,unweighted,absolute_recovery,A/SEX,0.021550215219878766
E,1.0,1,unweighted,absolute_recovery,A/RAC1P,0.07578681431469114
E,1.0,1,unweighted,absolute_recovery,B/income_binary,0.11796439805706721
E,1.0,1,unweighted,absolute_recovery,B/civilian_at_work,0.10387409577424345
E,1.0,1,unweighted,absolute_recovery,B/same_residence,0.011856642768453218
E,1.0,1,unweighted,absolute_recovery,B/SEX,0.0008775222370044355
E,1.0,1,unweighted,absolute_recovery,B/RAC1P,0.024095339863926757
E,1.0,1,unweighted,absolute_recovery,AB/SEX,0.02803403694653228
E,1.0,1,unweighted,absolute_recovery,AB/RAC1P,0.08282303456173024
E,1.0,1,person_weighted,utility_loss,income_binary,0.30292588491452915
E,1.0,1,person_weighted,utility_loss,civilian_at_work,0.27507188749641104
E,1.0,1,person_weighted,utility_loss,same_residence,0.47249281859426673
E,1.0,1,person_weighted,utility_loss,public_coverage,0.5084292140261927
E,1.0,1,person_weighted,utility_loss,commute_over20,0.6898316239702851
E,1.0,1,person_weighted,absolute_recovery,A/public_coverage,0.06561368733671324
E,1.0,1,person_weighted,absolute_recovery,A/commute_over20,0.01096291511741243
E,1.0,1,person_weighted,absolute_recovery,A/SEX,0.01860053229854597
E,1.0,1,person_weighted,absolute_recovery,A/RAC1P,0.0682551422076958
E,1.0,1,person_weighted,absolute_recovery,B/income_binary,0.12006296814710771
E,1.0,1,person_weighted,absolute_recovery,B/civilian_at_work,0.12057734254777513
E,1.0,1,person_weighted,absolute_recovery,B/same_residence,0.015208136476901335
E,1.0,1,person_weighted,absolute_recovery,B/SEX,0.0011414583739995932
E,1.0,1,person_weighted,absolute_recovery,B/RAC1P,0.017967179051026516
E,1.0,1,person_weighted,absolute_recovery,AB/SEX,0.021797054834910123
E,1.0,1,person_weighted,absolute_recovery,AB/RAC1P,0.0718975148719041
E,0.0,2,unweighted,utility_loss,income_binary,0.3005014432221884
E,0.0,2,unweighted,utility_loss,civilian_at_work,0.2951238076567471
E,0.0,2,unweighted,utility_loss,same_residence,0.5331509601315477
E,0.0,2,unweighted,utility_loss,public_coverage,0.5055431529173257
E,0.0,2,unweighted,utility_loss,commute_over20,0.6915424887295023
E,0.0,2,unweighted,absolute_recovery,A/public_coverage,0.04584261306795534
E,0.0,2,unweighted,absolute_recovery,A/commute_over20,0.009925997810247833
E,0.0,2,unweighted,absolute_recovery,A/SEX,0.005151311050519802
E,0.0,2,unweighted,absolute_recovery,A/RAC1P,0.013449008649613514
E,0.0,2,unweighted,absolute_recovery,B/income_binary,0.10383477896154042
E,0.0,2,unweighted,absolute_recovery,B/civilian_at_work,0.09672140498671344
E,0.0,2,unweighted,absolute_recovery,B/same_residence,0.009971921946028472
E,0.0,2,unweighted,absolute_recovery,B/SEX,0.0018720087635709648
E,0.0,2,unweighted,absolute_recovery,B/RAC1P,0.020722892435778073
E,0.0,2,unweighted,absolute_recovery,AB/SEX,0.004686139377440113
E,0.0,2,unweighted,absolute_recovery,AB/RAC1P,0.02966617095020907
E,0.0,2,person_weighted,utility_loss,income_binary,0.31595624992641413
E,0.0,2,person_weighted,utility_loss,civilian_at_work,0.2919181427580853
E,0.0,2,person_weighted,utility_loss,same_residence,0.5066635834225922
E,0.0,2,person_weighted,utility_loss,public_coverage,0.5192636079469974
E,0.0,2,person_weighted,utility_loss,commute_over20,0.6913511610488051
