seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,L1,59,-4.9590724051563885e-18,0,3.3185201150793455e-11,128
0,L1,60,-7.104229938514943e-18,0,3.3185201150793455e-11,128
0,L1,61,-7.170387039931665e-18,0,3.3185201150793455e-11,128
0,L1,62,-9.046369807277883e-18,0,3.3185201150793455e-11,128
0,L1,63,-9.897120065373278e-18,0,3.3185201150793455e-11,128
0,L1,64,-1.2606204044913014e-17,0,3.3185201150793455e-11,128
0,L1,65,-1.462008895337025e-17,0,3.3185201150793455e-11,128
0,L1,66,-1.7866513749287573e-17,0,3.3185201150793455e-11,128
0,L1,67,-1.832720847009518e-17,0,3.3185201150793455e-11,128
0,L1,68,-1.6767291122523613e-12,0,3.3185201150793455e-11,128
0,L1,69,-9.889855028382096e-12,0,3.3185201150793455e-11,128
0,L1,70,-5.111436137516675e-11,0,3.3185201150793455e-11,128
0,L1,71,-8.210572941101344e-10,0,3.3185201150793455e-11,128
0,L1,72,-1.21368870525988e-09,0,3.3185201150793455e-11,128
0,L1,73,-4.2651200109832345e-09,0,3.3185201150793455e-11,128
0,L1,74,-1.2514789589085506e-08,0,3.3185201150793455e-11,128
0,L1,75,-3.4337177221861386e-08,0,3.3185201150793455e-11,128
0,L1,76,-7.178726539097101e-08,0,3.3185201150793455e-11,128
0,L1,77,-4.2084008638960625e-07,0,3.3185201150793455e-11,128
0,L1,78,-4.6433178234309073e-07,0,3.3185201150793455e-11,128
