seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fallback_reason
2,audit,PCA16,SEX,logistic,logistic,False,False,True,False,2941,"[1508,1433]",True,3,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002370624919421971,,
2,audit,PCA16,SEX,mlp_0,mlp,True,True,True,False,2941,"[1508,1433]",True,1440,15,180,352920,b3bbd477a559befee51785e22ba071340d46951a70c55d10bf20bd6838c608f3,1260200,1960200,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.33967579202726483,,
2,audit,PCA16,SEX,mlp_1,mlp,False,False,False,True,2941,"[1508,1433]",True,1440,15,180,352920,3b933dd347f110e0a304d0c4bb5921ae0660bf3069a9b0428333507e3e1a0573,1270200,1970200,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3290309580042958,,
2,audit,PCA16,SEX,hist_gb_20,histgb,False,False,False,False,2941,"[1508,1433]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.0813171670306474,,
2,audit,PCA16,SEX,hist_gb_5,histgb,False,False,True,False,2941,"[1508,1433]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.09179487498477101,,
2,audit,PCA16,RAC1P,logistic,logistic,False,False,True,False,2941,"[1670,165,22,0,5,450,9,450,170]",False,49,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0154984169639647,,
2,audit,PCA16,RAC1P,mlp_0,mlp,False,False,False,False,2941,"[1670,165,22,0,5,450,9,450,170]",False,1440,20,240,352920,249a34e3be96dc76c34735794d68d8c50f5f493d342a81692fd7bb6ce4f9ab74,1260201,1960201,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.42756479198578745,,
2,audit,PCA16,RAC1P,mlp_1,mlp,True,True,True,False,2941,"[1670,165,22,0,5,450,9,450,170]",False,1440,20,240,352920,f17f0bccb0ad79d7f60eef19967365cecbe7b6b2ef5229db09baa9bb42471e09,1270201,1970201,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4100413339911029,,
2,audit,PCA16,RAC1P,hist_gb_20,histgb,False,False,False,False,2941,"[1670,165,22,0,5,450,9,450,170]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6294112909818068,,
2,audit,PCA16,RAC1P,hist_gb_5,histgb,False,False,True,False,2941,"[1670,165,22,0,5,450,9,450,170]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.660090749966912,,
