year,seed,condition,weight,scope,kind,endpoint,value
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,AB/SEX,0.025004744789584255
2017,0,spectral_S0,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.04942605633742958
2017,0,spectral_S0,person_weighted,transport_all,residence_gain_vs_H,utility/same_residence,0.027343619882325587
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,A/public_coverage,0.009952299010332677
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,A/commute_over20,0.002571802266815637
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,A/SEX,0.015143419972630578
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,A/RAC1P,0.04532462131545878
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,AB/SEX,0.015143419972630578
2017,0,spectral_C1,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.03915088051825544
2017,0,spectral_C1,unweighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.027519534431815762
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,A/public_coverage,0.009232645325232602
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,A/commute_over20,0.004090319176846879
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,A/SEX,0.012879982838378434
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,A/RAC1P,0.04456064916824842
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,AB/SEX,0.010520046567382257
2017,0,spectral_C1,unweighted,transport_all,additional_recovery,AB/RAC1P,0.036916668442763534
2017,0,spectral_C1,unweighted,transport_all,residence_gain_vs_H,utility/same_residence,0.027519534431815762
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.01057224147833602
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0031630792103042316
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,A/SEX,0.01653318833636408
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.041734391259899084
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,AB/SEX,0.01653318833636408
