year,seed,condition,weight,scope,kind,endpoint,value,absolute_recovery,selected_candidate
2017,0,A0,unweighted,transport_all,additional_recovery,A/commute_over20,0.002864762618883243,0.00909652301539976,wire__mlp_1
2017,0,A0,unweighted,transport_all,additional_recovery,A/SEX,0.025528132941256443,0.035341056805079596,wire__mlp_1
2017,0,A0,unweighted,transport_all,additional_recovery,A/RAC1P,0.06971650180437883,0.08906119138298285,catchup
2017,0,A0,unweighted,transport_all,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,A0,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,A0,unweighted,transport_all,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,A0,unweighted,transport_all,additional_recovery,B/SEX,0.0,0.00040107076730033775,frozen2018__wire__kernel__0.0001
2017,0,A0,unweighted,transport_all,additional_recovery,B/RAC1P,0.0,0.024997374577194753,catchup
2017,0,A0,unweighted,transport_all,additional_recovery,AB/SEX,0.02564480342798703,0.03781766356280636,wire__mlp_0
2017,0,A0,unweighted,transport_all,additional_recovery,AB/RAC1P,0.04993041728086456,0.08906119138298285,inherited_A__catchup
2017,0,A0,unweighted,transport_all,utility_gain_vs_H,income_binary,0.011691510256712612,0.27445958884943095,
2017,0,A0,unweighted,transport_all,utility_gain_vs_H,civilian_at_work,0.005807811563434573,0.29179038425375886,
2017,0,A0,unweighted,transport_all,utility_gain_vs_H,same_residence,0.028525142604407527,0.5146418928360915,
2017,0,A0,unweighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,A0,unweighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.01814005782156569,0.06686432421826372,wire__mlp_1
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0018317213497893725,0.006174171002942042,wire__mlp_1
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/SEX,0.02618571405621306,0.03246575508790395,wire__mlp_1
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.062397170438077465,0.08286068059374285,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/SEX,0.0,-0.0004106134712759113,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.024745359786336074,wire__mlp_1
2017,0,A0,person_weighted,common_fresh,additional_recovery,AB/SEX,0.02866361993926836,0.034943660970959245,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.049371620375290304,0.08570200675181305,wire__mlp_0
2017,0,A0,person_weighted,common_fresh,utility_gain_vs_H,income_binary,0.010887265408017821,0.2710908541350522,
2017,0,A0,person_weighted,common_fresh,utility_gain_vs_H,civilian_at_work,0.0020265720518652386,0.2945129894177814,
2017,0,A0,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.027639204973753106,0.49502323440629764,
2017,0,A0,person_weighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,A0,person_weighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,A0,person_weighted,transport_all,additional_recovery,A/public_coverage,0.017581157536452507,0.06686432421826372,wire__mlp_1
2017,0,A0,person_weighted,transport_all,additional_recovery,A/commute_over20,0.00456594048046588,0.006174171002942042,wire__mlp_1
2017,0,A0,person_weighted,transport_all,additional_recovery,A/SEX,0.0244923759204404,0.03246575508790395,wire__mlp_1
2017,0,A0,person_weighted,transport_all,additional_recovery,A/RAC1P,0.06511226388715796,0.08644898960965652,catchup
2017,0,A0,person_weighted,transport_all,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,A0,person_weighted,transport_all,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,A0,person_weighted,transport_all,additional_recovery,B/SEX,0.0,-0.0002929064998229425,frozen2018__wire__kernel__0.0001
2017,0,A0,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0,0.025237958593029575,catchup
