seed,condition,weight,endpoint,recovery_budget_120,recovery_budget_360,catchup_gain
0,dax8_L2_b010,person_weighted,A/RAC1P,0.057809521564137656,0.057809521564137656,0.0
0,dax8_L2_b010,person_weighted,AB/RAC1P,0.06944704693618897,0.06944704693618897,0.0
0,dax8_L2_b030,unweighted,A/SEX,0.03417008030214963,0.03417008030214963,0.0
0,dax8_L2_b030,unweighted,AB/SEX,0.03147958318545585,0.03147958318545585,0.0
0,dax8_L2_b030,unweighted,A/RAC1P,0.06675981364833716,0.06675981364833716,0.0
0,dax8_L2_b030,unweighted,AB/RAC1P,0.07208986717569488,0.07208986717569488,0.0
0,dax8_L2_b030,person_weighted,A/SEX,0.03749110566671898,0.03749110566671898,0.0
0,dax8_L2_b030,person_weighted,AB/SEX,0.035701764704784145,0.035701764704784145,0.0
0,dax8_L2_b030,person_weighted,A/RAC1P,0.057809521564137656,0.057809521564137656,0.0
0,dax8_L2_b030,person_weighted,AB/RAC1P,0.06944704693618897,0.06944704693618897,0.0
0,dax8_L2_b100,unweighted,A/SEX,0.017293826347429153,0.017293826347429153,0.0
0,dax8_L2_b100,unweighted,AB/SEX,0.022293220951565607,0.022293220951565607,0.0
0,dax8_L2_b100,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,dax8_L2_b100,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,dax8_L2_b100,person_weighted,A/SEX,0.019439712290689748,0.019439712290689748,0.0
0,dax8_L2_b100,person_weighted,AB/SEX,0.024206015705780293,0.024206015705780293,0.0
0,dax8_L2_b100,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,dax8_L2_b100,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,dax8_L2_b300,unweighted,A/SEX,0.014181195088898146,0.014181195088898146,0.0
