seed,comparison,left,right,target,split,left_minus_right,left_value,right_value
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation_person_weighted,-0.013854796705099814,0.29612214378084195,0.30997694048594177
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation_person_weighted,-0.0192785684074695,0.3017238724096983,0.3210024408171678
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation,-0.01807508929214524,0.29333356225666185,0.3114086515488071
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation,-0.026640447503118947,0.28455812177876916,0.3111985692818881
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation,-0.007307219391911979,0.29554162189647437,0.30284884128838635
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation_person_weighted,-0.019483329415841688,0.3041261184833606,0.32360944789920226
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation_person_weighted,-0.023910276871530245,0.2975105728939682,0.32142084976549845
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation_person_weighted,-0.0027041391416074423,0.31515147368682966,0.3178556128284371
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation,-0.0392189908342781,0.2962130434031922,0.3354320342374703
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation,-0.04499423073271591,0.3231947190394957,0.3681889497722116
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation,-0.01896215206271018,0.3058070152234716,0.32476916728618177
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation_person_weighted,-0.034718641037967624,0.2937189535883776,0.3284375946263452
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation_person_weighted,-0.040457777626734304,0.3229708851126258,0.3634286627393601
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation_person_weighted,-0.01594103568664329,0.3039397662113405,0.3198808018979838
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation,-0.03682849538833122,0.2855897890093261,0.3224182843976573
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation,-0.046446287655481866,0.2878903080610444,0.33433659571652624
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation,-0.024818983762914415,0.29997238604923876,0.3247913698121532
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation_person_weighted,-0.037188691525150475,0.26697898568250295,0.3041676772076534
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation_person_weighted,-0.036001637206758086,0.2754430522159907,0.3114446894227488
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation_person_weighted,-0.014490579988553687,0.2975968108141775,0.3120873908027312
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation,-0.0067320311769678565,0.4939126450763469,0.5006446762533148
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation,-0.01596032311127321,0.48030779170658705,0.49626811481786026
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation,-0.0067858670301722546,0.4887974902371724,0.49558335726734465
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation_person_weighted,-0.005624022070446766,0.4998072653122694,0.5054312873827161
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation_person_weighted,-0.013772808435889738,0.489984888020403,0.5037576964562928
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation_person_weighted,0.00035458425048207065,0.5106756619936756,0.5103210777431936
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation,0.005451071067510194,0.525910063472405,0.5204589924048948
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation,-0.013617472532985453,0.49163211208129526,0.5052495846142807
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation,-0.007562526786821178,0.49139767888605224,0.4989602056728734
0,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation_person_weighted,0.0030997090751805345,0.5343486971737043,0.5312489880985237
1,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation_person_weighted,-0.01593006438763378,0.4948337902419936,0.5107638546296274
2,native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation_person_weighted,-0.004950859744352942,0.5007355550466619,0.5056864147910148
0,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation,-0.004856346268416745,0.2960280982725791,0.30088444454099583
1,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation,-0.015336937640354154,0.29737164730627097,0.3127085849466251
2,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation,-0.01978855035585697,0.309644325026935,0.329432875382792
0,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation_person_weighted,-0.002800026001138878,0.2898890256327771,0.29268905163391595
1,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation_person_weighted,-0.01303240347087914,0.2969445370150626,0.30997694048594177
2,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation_person_weighted,-0.020200859266491955,0.3008015815506758,0.3210024408171678
0,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation,-0.017472661464510764,0.29393599008429633,0.3114086515488071
1,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation,-0.027159652987711225,0.2840389162941769,0.3111985692818881
2,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation,-0.008133857358135044,0.2947149839302513,0.30284884128838635
0,native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation_person_weighted,-0.019862040466688546,0.3037474074325137,0.32360944789920226
