comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,primary,validation,3,3,True,-0.038315283280505895,0.011375062542757391,"{""0"":-0.029940448892266325,""1"":-0.05126561434951982,""2"":-0.033739786599731536}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,primary,development_evaluation,3,3,True,-0.04096241604242571,0.009256998823916583,"{""0"":-0.042950589365083,""1"":-0.049063789916732325,""2"":-0.03087286884546181}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,primary,validation_person_weighted,3,3,True,-0.031121588566538867,0.011470637781338187,"{""0"":-0.02606942425467773,""1"":-0.04425107856783361,""2"":-0.02304426287710526}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,primary,development_evaluation_person_weighted,3,3,True,-0.03331058536297804,0.003750043542426074,"{""0"":-0.031541410375545365,""1"":-0.0376179409569275,""2"":-0.030772404756461258}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,pooled,validation,3,3,True,-0.018131829995706877,0.009792008332255462,"{""0"":-0.020558291777739268,""1"":-0.026482470684454418,""2"":-0.007354727524926941}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,pooled,development_evaluation,3,3,True,-0.011954384068740387,0.0026269462228739344,"{""0"":-0.01413793358893567,""1"":-0.012686048388379945,""2"":-0.009039170228905546}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,pooled,validation_person_weighted,3,3,True,-0.015004686152861435,0.010199326906910723,"{""0"":-0.02101205419192065,""1"":-0.020773682241856273,""2"":-0.003228322024807384}"
representation_minus_source_bank,S_F_D,S_bank,audit,SEX,360,pooled,development_evaluation_person_weighted,3,3,True,-0.00921536980732851,0.002223071833438154,"{""0"":-0.011777254200086129,""1"":-0.00807446205397988,""2"":-0.007794393167919522}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,pooled,validation,3,3,True,-0.05250066304815134,0.007920155808708982,"{""0"":-0.045270585275275055,""1"":-0.05126561434951982,""2"":-0.06096578951965914}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,pooled,development_evaluation,3,3,True,-0.04858543677786945,0.004038751233496991,"{""0"":-0.05236370905465604,""1"":-0.049063789916732325,""2"":-0.04432881136222}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,pooled,validation_person_weighted,3,3,True,-0.04324146298914348,0.0032002673209362005,"{""0"":-0.03965814611049856,""1"":-0.04425107856783361,""2"":-0.045815164289098265}"
representation_minus_source_bank,S_F_D,S_bank,audit,RAC1P,360,pooled,development_evaluation_person_weighted,3,3,True,-0.04198483748030054,0.0037826183368567146,"{""0"":-0.044244853019194785,""1"":-0.0376179409569275,""2"":-0.04409171846477933}"
new_minus_beta0,S_F_D,D_init,transfer,same_residence,,primary,validation,3,3,True,0.0036467468876154596,0.009840254081547727,"{""0"":0.010555132998136485,""1"":0.008005123921665303,""2"":-0.007620016256955409}"
new_minus_beta0,S_F_D,D_init,transfer,same_residence,,primary,development_evaluation,3,3,True,0.008929936381920503,0.009105158649122322,"{""0"":0.017435301446137086,""1"":0.010029635363586253,""2"":-0.0006751276639618276}"
new_minus_beta0,S_F_D,D_init,transfer,same_residence,,primary,validation_person_weighted,3,3,True,0.005323596141234103,0.011792297845864493,"{""0"":0.017819175669632314,""1"":0.0037612794238774394,""2"":-0.005609666669807445}"
new_minus_beta0,S_F_D,D_init,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.012124590749820252,0.008783111017841516,"{""0"":0.018462791345691898,""1"":0.015812125855389436,""2"":0.002098855048379422}"
new_minus_beta0,S_F_D,D_init,transfer,commute_over20,,primary,validation,3,3,True,0.0017418805682211473,0.0029485931775076316,"{""0"":0.0027055481175469742,""1"":0.00408806913562465,""2"":-0.0015679755485081825}"
new_minus_beta0,S_F_D,D_init,transfer,commute_over20,,primary,development_evaluation,3,3,True,-0.0010337147928765056,0.005312474455317361,"{""0"":0.001999216938789572,""1"":0.0020675437453329115,""2"":-0.007167905062752}"
new_minus_beta0,S_F_D,D_init,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,0.0012564401070285964,0.006079065500272005,"{""0"":-0.0022473106246533314,""1"":0.008275936896650515,""2"":-0.0022593059509113944}"
new_minus_beta0,S_F_D,D_init,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,-0.0011375531563792747,0.0062305479389840645,"{""0"":0.00283239083845388,""1"":0.0020735681987522625,""2"":-0.008318618506343967}"
new_minus_beta0,S_F_D,D_init,transfer,income_binary,,primary,validation,3,3,True,0.004260283999361496,0.007465539988049215,"{""0"":0.009562481120954258,""1"":0.007495552448529064,""2"":-0.004277181571398836}"
new_minus_beta0,S_F_D,D_init,transfer,income_binary,,primary,development_evaluation,3,3,True,0.0020938460191548916,0.002364182295646359,"{""0"":0.0008985435965701005,""1"":0.004817008231587927,""2"":0.0005659862293066475}"
new_minus_beta0,S_F_D,D_init,transfer,income_binary,,primary,validation_person_weighted,3,3,True,0.004799424383941838,0.009638814645479518,"{""0"":0.01230030225635359,""1"":0.00817003671333455,""2"":-0.006072065817862626}"
new_minus_beta0,S_F_D,D_init,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,0.004167049170610855,0.0017488959188467143,"{""0"":0.0046441102627523545,""1"":0.005627914538014145,""2"":0.002229122711066067}"
new_minus_beta0,S_F_D,D_init,transfer,civilian_at_work,,primary,validation,3,3,True,0.007881351595231659,0.0072630458586724145,"{""0"":0.015623059309216203,""1"":0.006803579620068612,""2"":0.0012174158564101645}"
new_minus_beta0,S_F_D,D_init,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.010613906778681384,0.005655860888721028,"{""0"":0.017144596026500813,""1"":0.007385111489594531,""2"":0.00731201281994881}"
new_minus_beta0,S_F_D,D_init,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.00740709010072151,0.005715167756506325,"{""0"":0.013761266669355066,""1"":0.005773203872514288,""2"":0.0026867997602951776}"
