seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
0,E_F_C,audit,SEX,pooled,validation,0.6597168715240799,0.03314751654507897,catchup,360
0,E_F_C,audit,SEX,pooled,development_evaluation,0.6690627973168664,0.02383943495271268,catchup,360
0,E_F_C,audit,SEX,pooled,validation_person_weighted,0.6606331120276733,0.03185701131566199,catchup,360
0,E_F_C,audit,SEX,pooled,development_evaluation_person_weighted,0.6716429527741451,0.021141053573721758,catchup,360
0,E_F_C,audit,RAC1P,pooled,validation,1.2214579202162996,0.05555173954248116,catchup,360
0,E_F_C,audit,RAC1P,pooled,development_evaluation,1.219496106810147,0.06773220643443545,catchup,360
0,E_F_C,audit,RAC1P,pooled,validation_person_weighted,1.2307355777717603,0.054766029108304526,catchup,360
0,E_F_C,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2053688429288785,0.055591303688108384,catchup,360
1,E_F_C,transfer,same_residence,primary,validation,0.5076821475512685,,logistic,
1,E_F_C,transfer,same_residence,primary,development_evaluation,0.5010518999124473,,logistic,
1,E_F_C,transfer,same_residence,primary,validation_person_weighted,0.4823093347961031,,logistic,
1,E_F_C,transfer,same_residence,primary,development_evaluation_person_weighted,0.47462182584000195,,logistic,
1,E_F_C,transfer,commute_over20,primary,validation,0.6775620650372164,,mlp,
1,E_F_C,transfer,commute_over20,primary,development_evaluation,0.681092584046007,,mlp,
1,E_F_C,transfer,commute_over20,primary,validation_person_weighted,0.6742033339867508,,mlp,
1,E_F_C,transfer,commute_over20,primary,development_evaluation_person_weighted,0.682823745201013,,mlp,
1,E_F_C,transfer,income_binary,primary,validation,0.30846509106276415,,logistic,
1,E_F_C,transfer,income_binary,primary,development_evaluation,0.28072058663169847,,logistic,
1,E_F_C,transfer,income_binary,primary,validation_person_weighted,0.3035163775400041,,logistic,
1,E_F_C,transfer,income_binary,primary,development_evaluation_person_weighted,0.2906352199140591,,logistic,
1,E_F_C,transfer,civilian_at_work,primary,validation,0.3036682476727472,,mlp,
1,E_F_C,transfer,civilian_at_work,primary,development_evaluation,0.2853484622835078,,mlp,
1,E_F_C,transfer,civilian_at_work,primary,validation_person_weighted,0.3080202534771872,,mlp,
1,E_F_C,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.2791550702328257,,mlp,
1,E_F_C,transfer,public_coverage,primary,validation,0.47978881512252697,,mlp,
1,E_F_C,transfer,public_coverage,primary,development_evaluation,0.4919091118547553,,mlp,
1,E_F_C,transfer,public_coverage,primary,validation_person_weighted,0.4859668147412676,,mlp,
1,E_F_C,transfer,public_coverage,primary,development_evaluation_person_weighted,0.49586165719192704,,mlp,
1,E_F_C,audit,SEX,primary,validation,0.6803447788055718,0.011813605771077706,mlp_1,360
1,E_F_C,audit,SEX,primary,development_evaluation,0.6730716443448735,0.018965041582482023,mlp_1,360
1,E_F_C,audit,SEX,primary,validation_person_weighted,0.6789407823479064,0.013104872220121466,mlp_1,360
1,E_F_C,audit,SEX,primary,development_evaluation_person_weighted,0.6757065455130876,0.015573600823277411,mlp_1,360
1,E_F_C,audit,RAC1P,primary,validation,1.238376491054936,0.05036319375674414,mlp_0,360
1,E_F_C,audit,RAC1P,primary,development_evaluation,1.257333218171122,0.059603267104295865,mlp_0,360
1,E_F_C,audit,RAC1P,primary,validation_person_weighted,1.2336712633917215,0.055062188766842546,mlp_0,360
1,E_F_C,audit,RAC1P,primary,development_evaluation_person_weighted,1.277838763508625,0.054342093102549116,mlp_0,360
1,E_F_C,audit,SEX,pooled,validation,0.666967997560988,0.025190387015661453,catchup,360
