anchor,configuration,arm,budget,role,weighting,fit_status,audit_status,registered_feasible,fallback,release_sha256,alias_of,n_people,n_households,release_loss,H_loss,H_minus_release,audit_selected_route
0,a0_u0p1_m002,U0P1,m002,utility:A/same_residence,U,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.5021314513350426,0.5328579213725678,0.030726470037525266,own/mlp_120
0,a0_u0p1_m002,U0P1,m002,utility:A/same_residence,PWGTP,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.4693010561677647,0.5008645741906776,0.03156351802291296,own/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:A/SEX,U,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:A/SEX,PWGTP,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:A/RAC1P,U,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:A/RAC1P,PWGTP,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:AB/SEX,U,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u0p1_m002,U0P1,m002,attack:AB/SEX,PWGTP,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u0p1_m002,U0P1,m002,attack:AB/RAC1P,U,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u0p1_m002,U0P1,m002,attack:AB/RAC1P,PWGTP,DESCRIPTIVE_PHASE_I_FALLBACK,complete,False,True,006abe1cf157c4a4c73700823c39e08e245661bfe070400f960a84b8bb4ff957,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u0p1_p002,U0P1,p002,utility:A/same_residence,U,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.4980732476202871,0.5328579213725678,0.034784673752280726,own/mlp_120
0,a0_u0p1_p002,U0P1,p002,utility:A/same_residence,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.46609607207747383,0.5008645741906776,0.034768502113203814,own/mlp_120
0,a0_u0p1_p002,U0P1,p002,attack:A/SEX,U,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.6919961793691662,0.6853273911417861,-0.006668788227380151,own/sampled_hist_gb_5
0,a0_u0p1_p002,U0P1,p002,attack:A/SEX,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.6927363673547033,0.6879099878504567,-0.004826379504246692,own/sampled_hist_gb_5
0,a0_u0p1_p002,U0P1,p002,attack:A/RAC1P,U,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u0p1_p002,U0P1,p002,attack:A/RAC1P,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u0p1_p002,U0P1,p002,attack:AB/SEX,U,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.6919961793691662,0.6939511882247802,0.001955008855613949,A/sampled_hist_gb_5
0,a0_u0p1_p002,U0P1,p002,attack:AB/SEX,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,0.6927363673547033,0.6936913360928808,0.0009549687381774641,A/sampled_hist_gb_5
0,a0_u0p1_p002,U0P1,p002,attack:AB/RAC1P,U,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u0p1_p002,U0P1,p002,attack:AB/RAC1P,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,05de82c1f4dc796390943ac20f3ddcd0edf34def58ab0f6b6169942b121b0974,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u0p1_z000,U0P1,z000,utility:A/same_residence,U,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.5021563749808171,0.5328579213725678,0.03070154639175071,own/mlp_120
0,a0_u0p1_z000,U0P1,z000,utility:A/same_residence,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.4693332038106557,0.5008645741906776,0.03153137038002196,own/mlp_120
0,a0_u0p1_z000,U0P1,z000,attack:A/SEX,U,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u0p1_z000,U0P1,z000,attack:A/SEX,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u0p1_z000,U0P1,z000,attack:A/RAC1P,U,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u0p1_z000,U0P1,z000,attack:A/RAC1P,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u0p1_z000,U0P1,z000,attack:AB/SEX,U,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u0p1_z000,U0P1,z000,attack:AB/SEX,PWGTP,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u0p1_z000,U0P1,z000,attack:AB/RAC1P,U,INITIAL_BANK_FEASIBLE,complete,True,False,4c327d612c7bb62a5eb4d9173fe928858aacacb06f75d0d5e100a4bcfac3b31b,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
