unit,seed,release,split,target,mean_mse,per_coordinate_mse
R_rho0,0,I,fit,S,0.562500015885385,"[0.23069567670748806,0.25078963923044273,0.9084343076741559,0.1760467318842353,0.6777796117261689,0.8642502153649096,0.6179076998672471,0.7022128490054222,0.3429291010819691,0.6428880688214293,0.5581291244749901,0.6763318518848451,0.4669932184368707,0.4774737329790547,0.7981334225674803,0.6090050024594514]"
R_rho0,0,I,source_validation,R,1.676447257426877e-15,"[2.617422972223391e-15,7.980300406710011e-16,1.98454687526786e-15,2.0704857189474468e-15,1.9583366867537573e-15,1.7697236551759318e-15,1.5599642386760082e-15,5.727366155130011e-16,1.049323883581806e-15,3.3247743643256606e-15,7.620264317201114e-16,7.616007957007277e-16,4.541988618284906e-15,6.838995768320537e-16,6.456115275690069e-16,1.7226841175873656e-15]"
R_rho0,0,I,source_validation,E,0.5664353835781566,"[0.711399016428573,0.5772130950722755,0.6780338766479543,0.7787757391396022,0.6821642194750547,0.44378580897987097,0.7091799516594113,0.9180227618528362,0.5003439468652505,0.7146374420997302,0.2060945521063445,0.49710852713968406,0.5116060050636411,0.28786191172999853,0.48515027636829483,0.3615890066219845]"
R_rho0,0,I,source_validation,S,0.5666995537982802,"[0.23777579317760092,0.25154141028719906,0.9065996246741658,0.17247335135683595,0.6830030041296878,0.861820327375561,0.6195622839079531,0.7399891455022202,0.34774038162353443,0.6465854269097222,0.5530468469619917,0.6577822176499138,0.4824349926244564,0.46175225023062694,0.8448653449584038,0.6002204594026099]"
R_rho0,0,I,development_evaluation,R,1.6589710360905162e-15,"[2.2906018366519736e-15,7.257927451817885e-16,1.9238081801821775e-15,1.9757063886929385e-15,2.1245788504157405e-15,1.7921946346146272e-15,1.7096235807427318e-15,4.921747804596936e-16,9.891214052735294e-16,3.305309532377271e-15,8.161922516166226e-16,8.8776458945910235e-16,4.593634092715872e-15,5.906182256368241e-16,5.841202237686021e-16,1.7422952596587668e-15]"
R_rho0,0,I,development_evaluation,E,0.56217054588415,"[0.6019900647630527,0.5279617701950334,0.6945520156234772,0.7870677115966389,0.6891754692541745,0.4389295178638787,0.7647894230461554,0.9428834473142446,0.5082022774684595,0.7394240111178366,0.20608750573886123,0.4925649434229667,0.5136185305113732,0.2773325623232042,0.46616167943556047,0.3439878044714835]"
R_rho0,0,I,development_evaluation,S,0.5671106093613731,"[0.2364122439015357,0.24716216111186726,0.9218997766570813,0.18098758104777526,0.694250111422439,0.8818802710504929,0.6577307087416144,0.6993134914678129,0.3355315016006235,0.641368321732849,0.5294219345140885,0.6924327817732417,0.46852298469887244,0.46455125130182195,0.803181299096388,0.6191233296634665]"
R_rho0,0,R_rho0_W,fit,R,0.012141093345553145,"[0.06433108865271128,0.013924518041740906,0.007662121178636517,0.030922058473399988,0.008348453895329141,0.009244252474963525,0.017552832693585495,0.015386464969937447,0.001738995357431741,0.013915092553149256,0.00012474937931436606,0.0016052479433808305,0.0008158281830500524,0.005850826875931431,0.0008723718828468053,0.001962590973441535]"
R_rho0,0,R_rho0_W,fit,E,0.5850162151125685,"[0.6675979734651004,0.5437706814087431,0.6809382808972412,0.9051788836233182,0.6747241907000354,0.4755105038151913,0.7505188520187523,0.9869622272006761,0.5167219260753634,0.8271504001801093,0.20130639234825837,0.4890432398487388,0.51175381547491,0.30041455027076497,0.483443914136177,0.3452236103377158]"
R_rho0,0,R_rho0_W,fit,S,0.586466988009161,"[0.32309487232120365,0.23460072804974885,0.8965077918180566,0.20097329631388824,0.703605159720209,0.9115535591203662,0.6000923615340313,0.7987484938436833,0.3455596818720643,0.737370677977784,0.5547944965024041,0.6904491881799584,0.47500509017072273,0.5010868733344928,0.7922098949934765,0.6178196423944861]"
R_rho0,0,R_rho0_W,source_validation,R,0.01277804236795299,"[0.06676636058618941,0.014306208647173774,0.00804310268648973,0.0334018953977044,0.008985945746138408,0.009797767603755187,0.018644722966316616,0.016325502801087646,0.001877039652299013,0.014794697061805797,0.00012524540070643945,0.0016928457156443792,0.000864310475734276,0.005898793399063489,0.0008952322841379015,0.0020290074630013705]"
