seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,audit,SEX,360,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0006588197844709098,0.002559541182587055,-0.0019007213981161453,0.0019007213981161453
0,audit,SEX,360,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.008286710094541738,-0.00024368512738792703,0.008530395221929665,-0.008530395221929665
0,audit,SEX,360,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.008286710094541738,-0.0009593930734275169,0.009246103167969255,-0.009246103167969255
0,audit,RAC1P,360,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.002329122685172269,0.001131031548421646,0.001198091136750623,-0.001198091136750623
0,audit,RAC1P,360,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.002329122685172269,0.003190038970817044,-0.000860916285644775,0.000860916285644775
0,audit,RAC1P,360,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0018884287004214961,0.0007216105615672763,0.0011668181388542198,-0.0011668181388542198
0,audit,RAC1P,360,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0018884287004214961,0.0040961549523890195,-0.0022077262519675234,0.0022077262519675234
0,audit,RAC1P,360,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0009830369857544152,0.00035955562865463975,-0.001342592614409055,0.001342592614409055
0,audit,RAC1P,360,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0009830369857544152,6.294664468220468e-05,-0.00104598363043662,0.00104598363043662
0,audit,RAC1P,360,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.001234288349458712,0.0005626225664956408,-0.0017969109159543528,0.0017969109159543528
