release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0p1_D,audit,SEX,360,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.030952168519654138,0.0017986279704223784
R_rho0p1_D,audit,RAC1P,360,pooled,validation,log_loss,3,3,True,1.2082288391830183,0.010159792812803782
R_rho0p1_D,audit,RAC1P,360,pooled,validation,signed_prior_relative_gain,3,3,True,0.07526821414170426,0.015247116901485103
R_rho0p1_D,audit,RAC1P,360,pooled,development_evaluation,log_loss,3,3,True,1.2100186866394531,0.018828092731698512
R_rho0p1_D,audit,RAC1P,360,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.08002396252461226,0.007493667693185814
R_rho0p1_D,audit,RAC1P,360,pooled,validation_person_weighted,log_loss,3,3,True,1.213387418633227,0.011290441476857949
R_rho0p1_D,audit,RAC1P,360,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.07131731349000996,0.012766841330308221
R_rho0p1_D,audit,RAC1P,360,pooled,development_evaluation_person_weighted,log_loss,3,3,True,1.2107026910955132,0.0365929193129411
R_rho0p1_D,audit,RAC1P,360,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07653923092336405,0.004631403909714176
R_rho0_C,transfer,same_residence,,primary,validation,log_loss,3,3,True,0.5061868084168317,0.005858570995122684
R_rho0_C,transfer,same_residence,,primary,development_evaluation,log_loss,3,3,True,0.4939663321798211,0.002284129690198974
R_rho0_C,transfer,same_residence,,primary,validation_person_weighted,log_loss,3,3,True,0.48186507540680756,0.004068821316840375
R_rho0_C,transfer,same_residence,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.47334774062833196,0.009582269961253899
R_rho0_C,transfer,commute_over20,,primary,validation,log_loss,3,3,True,0.6756602136775611,0.0018919722714703386
R_rho0_C,transfer,commute_over20,,primary,development_evaluation,log_loss,3,3,True,0.6854617969559592,0.0038814724036018685
R_rho0_C,transfer,commute_over20,,primary,validation_person_weighted,log_loss,3,3,True,0.6738283941552401,0.001122644596845897
R_rho0_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.689116057900375,0.0064300740855787195
R_rho0_C,transfer,income_binary,,primary,validation,log_loss,3,3,True,0.29766985547349734,0.0021570095878953467
R_rho0_C,transfer,income_binary,,primary,development_evaluation,log_loss,3,3,True,0.2903417045770912,0.007141525220118009
R_rho0_C,transfer,income_binary,,primary,validation_person_weighted,log_loss,3,3,True,0.29461876410899773,0.012794470755048184
R_rho0_C,transfer,income_binary,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.3017586755982736,0.009664625785792648
R_rho0_C,transfer,civilian_at_work,,primary,validation,log_loss,3,3,True,0.2965352417371437,0.009733334347079518
R_rho0_C,transfer,civilian_at_work,,primary,development_evaluation,log_loss,3,3,True,0.2820938810171873,0.00672224999793787
R_rho0_C,transfer,civilian_at_work,,primary,validation_person_weighted,log_loss,3,3,True,0.2960649902919369,0.008127027170661367
R_rho0_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.27387651528730644,0.014104969072614543
R_rho0_C,transfer,public_coverage,,primary,validation,log_loss,3,3,True,0.4865176638725275,0.0032007248452464603
R_rho0_C,transfer,public_coverage,,primary,development_evaluation,log_loss,3,3,True,0.49971525220539276,0.010911961190524426
R_rho0_C,transfer,public_coverage,,primary,validation_person_weighted,log_loss,3,3,True,0.49843404340856434,0.005823527916533708
R_rho0_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.5063103212372635,0.011817003580568081
R_rho0_C,audit,SEX,120,primary,validation,log_loss,3,3,True,0.6572007059837858,0.006714147488678845
R_rho0_C,audit,SEX,120,primary,validation,signed_prior_relative_gain,3,3,True,0.03518691258303589,0.007088412003350385
R_rho0_C,audit,SEX,120,primary,development_evaluation,log_loss,3,3,True,0.6593145300130575,0.0024606094343187423
R_rho0_C,audit,SEX,120,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.0333721737436092,0.0019802110940056235
R_rho0_C,audit,SEX,120,primary,validation_person_weighted,log_loss,3,3,True,0.6575562913891916,0.012504728417365224
R_rho0_C,audit,SEX,120,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03476872193265986,0.012544619564198686
R_rho0_C,audit,SEX,120,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6614750310279814,0.0018854159969422168
R_rho0_C,audit,SEX,120,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.030638391792006486,0.0026289524210531896
R_rho0_C,audit,RAC1P,120,primary,validation,log_loss,3,3,True,1.2074255857128708,0.01122645373108595
R_rho0_C,audit,RAC1P,120,primary,validation,signed_prior_relative_gain,3,3,True,0.07607146761185168,0.0164083861573112
R_rho0_C,audit,RAC1P,120,primary,development_evaluation,log_loss,3,3,True,1.2103538984590918,0.019413319349315485
R_rho0_C,audit,RAC1P,120,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.07968875070497357,0.006890316449195636
R_rho0_C,audit,RAC1P,120,primary,validation_person_weighted,log_loss,3,3,True,1.212460970029886,0.011835852845152237
R_rho0_C,audit,RAC1P,120,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.07224376209335077,0.01291055130571559
R_rho0_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,log_loss,3,3,True,1.212297086132742,0.036335109611666916
