seed,release,target,split,audit_budget,saved_loss,saved_candidate,fresh_loss,fresh_candidate,catchup_loss,catchup_candidate,pooled_loss,pooled_candidate
0,E_rho0p1_D,RAC1P,development_evaluation_person_weighted,360,1.2053149907802805,saved_adversary,1.2138100857965244,mlp_0,1.1945460237226466,catchup,1.1945460237226466,catchup
0,E_rho0_C,SEX,validation,120,0.6792540117854351,saved_adversary,0.668567843816798,mlp_1,0.6612734997982949,catchup,0.6612734997982949,catchup
0,E_rho0_C,SEX,validation,360,0.6792540117854351,saved_adversary,0.668567843816798,mlp_1,0.6612734997982949,catchup,0.6612734997982949,catchup
0,E_rho0_C,SEX,development_evaluation,120,0.685233886071659,saved_adversary,0.6791389177345987,mlp_1,0.6670109441317716,catchup,0.6670109441317716,catchup
0,E_rho0_C,SEX,development_evaluation,360,0.685233886071659,saved_adversary,0.6791389177345987,mlp_1,0.6670109441317716,catchup,0.6670109441317716,catchup
0,E_rho0_C,SEX,validation_person_weighted,120,0.6734202916928047,saved_adversary,0.6726751147986257,mlp_1,0.6615938952607163,catchup,0.6615938952607163,catchup
0,E_rho0_C,SEX,validation_person_weighted,360,0.6734202916928047,saved_adversary,0.6726751147986257,mlp_1,0.6615938952607163,catchup,0.6615938952607163,catchup
0,E_rho0_C,SEX,development_evaluation_person_weighted,120,0.6824904183573012,saved_adversary,0.6804104062135818,mlp_1,0.669582368075756,catchup,0.669582368075756,catchup
0,E_rho0_C,SEX,development_evaluation_person_weighted,360,0.6824904183573012,saved_adversary,0.6804104062135818,mlp_1,0.669582368075756,catchup,0.669582368075756,catchup
0,E_rho0_C,RAC1P,validation,120,1.225395328319985,saved_adversary,1.2505937684983357,mlp_0,1.2208482787277066,catchup,1.2208482787277066,catchup
0,E_rho0_C,RAC1P,validation,360,1.225395328319985,saved_adversary,1.2505937684983357,mlp_0,1.2208482787277066,catchup,1.2208482787277066,catchup
0,E_rho0_C,RAC1P,development_evaluation,120,1.2316755894479117,saved_adversary,1.2320515068648705,mlp_0,1.2225948801534996,catchup,1.2225948801534996,catchup
0,E_rho0_C,RAC1P,development_evaluation,360,1.2316755894479117,saved_adversary,1.2320515068648705,mlp_0,1.2225948801534996,catchup,1.2225948801534996,catchup
0,E_rho0_C,RAC1P,validation_person_weighted,120,1.239959661859715,saved_adversary,1.2558208834994957,mlp_0,1.2272531874453767,catchup,1.2272531874453767,catchup
0,E_rho0_C,RAC1P,validation_person_weighted,360,1.239959661859715,saved_adversary,1.2558208834994957,mlp_0,1.2272531874453767,catchup,1.2272531874453767,catchup
0,E_rho0_C,RAC1P,development_evaluation_person_weighted,120,1.2198924277858438,saved_adversary,1.2110262382798183,mlp_0,1.2042769516446568,catchup,1.2042769516446568,catchup
0,E_rho0_C,RAC1P,development_evaluation_person_weighted,360,1.2198924277858438,saved_adversary,1.2110262382798183,mlp_0,1.2042769516446568,catchup,1.2042769516446568,catchup
0,E_rho0_D,SEX,validation,120,0.6868406139651703,saved_adversary,0.6726377577183731,mlp_1,0.6667841960357999,catchup,0.6667841960357999,catchup
0,E_rho0_D,SEX,validation,360,0.6868406139651703,saved_adversary,0.6726377577183731,mlp_1,0.6667841960357999,catchup,0.6667841960357999,catchup
0,E_rho0_D,SEX,development_evaluation,120,0.6936714947146789,saved_adversary,0.6833863746625485,mlp_1,0.6732433206611868,catchup,0.6732433206611868,catchup
0,E_rho0_D,SEX,development_evaluation,360,0.6936714947146789,saved_adversary,0.6833863746625485,mlp_1,0.6732433206611868,catchup,0.6732433206611868,catchup
0,E_rho0_D,SEX,validation_person_weighted,120,0.6774810246453239,saved_adversary,0.676869814801624,mlp_1,0.6643593694045206,catchup,0.6643593694045206,catchup
0,E_rho0_D,SEX,validation_person_weighted,360,0.6774810246453239,saved_adversary,0.676869814801624,mlp_1,0.6643593694045206,catchup,0.6643593694045206,catchup
0,E_rho0_D,SEX,development_evaluation_person_weighted,120,0.6918695901351317,saved_adversary,0.6843469095546139,mlp_1,0.6761060696357833,catchup,0.6761060696357833,catchup
0,E_rho0_D,SEX,development_evaluation_person_weighted,360,0.6918695901351317,saved_adversary,0.6843469095546139,mlp_1,0.6761060696357833,catchup,0.6761060696357833,catchup
0,E_rho0_D,RAC1P,validation,120,1.232663439781931,saved_adversary,1.2537306300337068,mlp_0,1.2235907149729146,catchup,1.2235907149729146,catchup
0,E_rho0_D,RAC1P,validation,360,1.232663439781931,saved_adversary,1.2537306300337068,mlp_0,1.2235907149729146,catchup,1.2235907149729146,catchup
