comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,3,3,True,0.0044582582638297286,0.00636661792762297,"{""0"":0.01066469108470347,""1"":0.004767367682840584,""2"":-0.002057283976054869}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,3,3,True,0.0012244564856727091,0.0062995633225694046,"{""0"":0.007062493614490073,""1"":0.002063428064541961,""2"":-0.005452552222013907}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,primary,validation,3,3,True,0.0026255393972327568,0.002665141183930219,"{""0"":-8.193767631026194e-05,""1"":0.005246224441343927,""2"":0.002712331426664605}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,primary,validation,3,3,True,0.0008199934396094047,0.004680339462435278,"{""0"":-0.0001686669745367686,""1"":0.005915681101038128,""2"":-0.0032870338076731453}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,primary,development_evaluation,3,3,True,0.007458392112189609,0.0026391275065073697,"{""0"":0.008157731933615575,""1"":0.00967741581034276,""2"":0.00454002859261049}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,primary,development_evaluation,3,3,True,0.005972400824472183,0.0055770901125829775,"{""0"":0.009673584809310909,""1"":0.008685783191824226,""2"":-0.0004421655277185854}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,primary,validation_person_weighted,3,3,True,0.0018208074462463901,0.0021581787125811392,"{""0"":0.0009416025664500394,""1"":0.004279811886724216,""2"":0.00024100788556491448}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,primary,validation_person_weighted,3,3,True,-0.0012257049251487295,0.004002883030751907,"{""0"":-0.0019007213981161453,""1"":0.003071770120387618,""2"":-0.004848163497717661}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,primary,development_evaluation_person_weighted,3,3,True,0.006865071364175024,0.0016311050547818517,"{""0"":0.008530395221929665,""1"":0.006794332027382888,""2"":0.0052704868432125185}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,primary,development_evaluation_person_weighted,3,3,True,0.00566689915383134,0.004124040472261146,"{""0"":0.009246103167969255,""1"":0.0065975331265502035,""2"":0.00115706116697456}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,primary,validation,3,3,True,0.001520701299357885,0.0012243562809825773,"{""0"":0.001198091136750623,""1"":0.0004899533973514725,""2"":0.0028740593639715595}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,primary,validation,3,3,True,-0.002575444625333286,0.0015625226569300813,"{""0"":-0.000860916285644775,""1"":-0.002946117094956957,""2"":-0.003919300495398126}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,primary,development_evaluation,3,3,True,0.0007400622402270093,0.000908066942308609,"{""0"":0.0011668181388542198,""1"":-0.0003027704239166873,""2"":0.0013561390057434952}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,primary,development_evaluation,3,3,True,-0.003617912647887911,0.002619297593578448,"{""0"":-0.0022077262519675234,""1"":-0.002005841494685967,""2"":-0.006640170197010242}"
