seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,0,1541,181421.0,0.5343266614045216,1551,176372.0,0.640974757898079,0.6231362411187239,0.6319296352919146,0.6450994603711391,True,True,1,1512,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,1,1444,158111.0,0.4656733385954785,1434,163160.0,0.5809573424859034,0.5995092055581206,0.5900874962259276,0.6450994603711391,True,True,2,1481,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation_person_weighted,0,1534,173797.0,0.520130723257547,1559,175723.0,0.5942989819204089,0.600884940476533,0.5975738155184253,0.6164470931254313,True,True,1,1512,True
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation_person_weighted,1,1448,160344.0,0.47986927674245305,1423,158418.0,0.5621394033506294,0.5553871675896822,0.5587428865423105,0.6164470931254311,True,True,2,1481,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation,0,1541,1541.0,0.5162479061976549,1643,1643.0,0.6092513694461351,0.6495781959766386,0.6287688442211056,0.6421741557178577,True,True,1,1512,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation,1,1444,1444.0,0.4837520938023451,1342,1342.0,0.5976154992548435,0.5554016620498615,0.5757358219669777,0.6421741557178577,True,True,2,1481,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,0,1534,1534.0,0.5144198524480215,1669,1669.0,0.5997603355302576,0.652542372881356,0.6250390259132064,0.6453945378060464,True,True,1,1512,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,1,1448,1448.0,0.48558014755197854,1313,1313.0,0.594059405940594,0.5386740331491713,0.5650126765664615,0.6453945378060464,True,True,2,1481,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,0,1541,181421.0,0.5343266614045216,1643,185018.0,0.6315763871623301,0.6440985332458756,0.637776000916933,0.6506498770989206,True,True,1,1512,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,1,1444,158111.0,0.4656733385954785,1342,154514.0,0.5821220083617018,0.568878825635155,0.5754242303078768,0.6506498770989206,True,True,2,1481,True
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,development_evaluation_person_weighted,0,1534,173797.0,0.520130723257547,1669,188882.0,0.5997712857763048,0.6518294331892955,0.6247177255920525,0.6394932156723416,True,True,1,1512,True
