family,left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,one_sided_upper_95_percentile,degenerate,adjusted_low,adjusted_high,critical_value,one_sided_critical_value,one_sided_upper_95_simultaneous
F3_secondary,spectral_C1,J,recovery/A/SEX,person_weighted,0.014394555268012234,0.024746341112497964,0.0009678733310052555,0.01746945136053348,0.0024349085162123137,0.009814707003724584,0.01943606409672774,0.018563058509796636,False,0.007750940342088673,0.021038170193935793,2.728486463326437,2.532745039709851,0.020561557734596246
F3_secondary,spectral_C1,J,recovery/AB/SEX,unweighted,0.006965726546809778,0.00877797873400951,0.0014002022171637936,0.010718998689256033,0.0019984854383994066,0.003081857779232996,0.010892184369067102,0.010306766531300252,False,0.0015128860809819978,0.01241856701263756,2.728486463326437,2.532745039709851,0.012027380627848243
F3_secondary,spectral_C1,J,recovery/AB/SEX,person_weighted,0.008926986284559225,0.011431953412910945,0.0011812646382771408,0.014167740802489592,0.0024211913197230476,0.004414729793366631,0.013887813670827892,0.012984724437949388,False,0.0023207985435714125,0.015533174025547037,2.728486463326437,2.532745039709851,0.015059246589776327
F3_secondary,spectral_C1,J,recovery/A/RAC1P,unweighted,0.03767236966726777,0.04278886183595319,0.03826535622833423,0.03196289093751589,0.0030299442736371153,0.03179321435292748,0.043603892129122745,0.04252184298671283,False,0.02940520773201545,0.045939531602520095,2.728486463326437,2.532745039709851,0.04534644599691944
F3_secondary,spectral_C1,J,recovery/A/RAC1P,person_weighted,0.03422174596917061,0.042283927378612134,0.03367019026285187,0.02671112026604782,0.003680034673085344,0.027137352318829373,0.041653565398653246,0.04042685984608595,False,0.024180821179085314,0.044262670759255905,2.728486463326437,2.532745039709851,0.04354233553338778
F3_secondary,spectral_C1,J,recovery/AB/RAC1P,unweighted,0.03267942271913882,0.033033747057528165,0.031822040854038454,0.033182480245849834,0.0028001448855841725,0.027330608520307515,0.038096147132547845,0.037228033109822894,False,0.025039265303469643,0.04031958013480799,2.728486463326437,2.532745039709851,0.03977147578857104
F3_secondary,spectral_C1,J,recovery/AB/RAC1P,person_weighted,0.02902748581202498,0.029588717513803264,0.0297113301900473,0.027782409732224372,0.003378183432144914,0.022609601627084138,0.03586077591693068,0.034562213157922975,False,0.01981015804678394,0.03824481357726602,2.728486463326437,2.532745039709851,0.03758356314302001
F4_frozen_transfer,spectral_C1,spectral_L1,utility/same_residence,unweighted,0.0009359618424910066,0.0029965195304648695,0.0006582306522572301,-0.0008468646552490799,0.0005592988916875865,-0.00010593100475717782,0.0020621626749529123,0.0018968465708352944,False,-0.0008569650366307968,0.00272888872161281,3.205668571435856,3.007323882475076,0.0026179547569049264
F4_frozen_transfer,spectral_C1,spectral_L1,utility/same_residence,person_weighted,0.00014720013150800365,0.0001146070862995674,0.0012594046937679515,-0.0009324113855435079,0.0007388622955043457,-0.0012879512556558162,0.001620653317370511,0.0014042413894574206,False,-0.002221347507809229,0.0025157477708252366,3.205668571435856,3.007323882475076,0.002369198358638579
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/SEX,unweighted,-0.0031818872563938315,-0.0030550787362660543,-0.004551489299408169,-0.0019390937335072717,0.0006150428035778082,-0.004403058539261947,-0.001990551105554119,-0.0021756532360948074,False,-0.005153510641911009,-0.0012102638708766538,3.205668571435856,3.007323882475076,-0.0013322543444498603
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/SEX,person_weighted,-0.0035707746354137525,-0.002619264827067584,-0.004705769669914435,-0.0033872894092592393,0.0007363187414753916,-0.005002841808897415,-0.002210020716819183,-0.0023625408232107663,False,-0.005931168483520619,-0.001210380787306886,3.205668571435856,3.007323882475076,-0.0013564256990608154
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.004158481909409486,-0.0025124154748861274,-0.0054293651427556565,-0.0045336651105866745,0.0006506812998077841,-0.005415179003002523,-0.0028442760559875854,-0.0030908378428379777,False,-0.0062443505022243325,-0.0020726133165946408,3.205668571435856,3.007323882475076,-0.0022016724966176116
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.003996388743099551,-0.0033827589522334583,-0.005230666813084046,-0.0033757404639811472,0.0007920791233373634,-0.005481615069207474,-0.002364402233817163,-0.0026614530244317034,False,-0.006535531894872602,-0.0014572455913264993,3.205668571435856,3.007323882475076,-0.001614350278677176
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.011977571271887227,-0.010113345067459756,-0.015339984459988971,-0.010479384288212955,0.0011163865712914814,-0.014103897779209586,-0.009724054495017629,-0.010106681721034107,False,-0.01555633661704936,-0.008398805926725095,3.205668571435856,3.007323882475076,-0.008620235273967894
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.012816130058313358,-0.012067827241129071,-0.01621773896415009,-0.010162823969660909,0.0012936561413428287,-0.015381679614816868,-0.010376201862798886,-0.010693226115929572,False,-0.016963162892861046,-0.00866909722376567,3.205668571435856,3.007323882475076,-0.008925687048742517
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.01283902106436026,-0.0054010768819284655,-0.017605745635503697,-0.015510240675648615,0.0010615408062237825,-0.01491597295519033,-0.010799439326930236,-0.011095504689963115,False,-0.01624196906416852,-0.009436073064551999,3.205668571435856,3.007323882475076,-0.009646624045581632
F4_frozen_transfer,spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.014680470929832504,-0.008602403145563875,-0.017596710891382046,-0.01784229875255159,0.0012870898397626632,-0.01720596691299702,-0.012182239803182893,-0.01259818570183122,False,-0.01880645437777409,-0.010554487481890919,3.205668571435856,3.007323882475076,-0.010809774915823226
F4_frozen_transfer,spectral_C1,spectral_L2,utility/same_residence,unweighted,0.0001396281818278518,-0.0007164870654896571,0.002570311126633973,-0.0014349395156607603,0.00042700755881993165,-0.0006871775590150684,0.0009978317446149138,0.0008395237528845412,False,-0.0012292165292467497,0.0015084728929024532,3.205668571435856,3.007323882475076,0.0014237782114644118
F4_frozen_transfer,spectral_C1,spectral_L2,utility/same_residence,person_weighted,-0.00038720352634182464,-0.0005339705756338686,0.0009072325753579635,-0.0015348725787495687,0.0005332047446641246,-0.0014135529121050371,0.000637912568691057,0.0004902612349676851,False,-0.00209648121845209,0.001322074165768441,3.205668571435856,3.007323882475076,0.0012163158365356228
F4_frozen_transfer,spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0004349310050041678,-0.001109538700503794,-0.0010228735275476172,0.0008276192130389076,0.0005725953239342788,-0.0015258233574103092,0.0007120061609008567,0.0005167578325622768,False,-0.002270481839091418,0.0014006198290830822,3.205668571435856,3.007323882475076,0.0012870485876569407
