mode,scope,budget,weight,interface,residence_gain_vs_H,residence_gain_low,residence_gain_high,absolute/A/SEX,H_baseline/A/SEX,additional/A/SEX,absolute/AB/SEX,H_baseline/AB/SEX,additional/AB/SEX,absolute/A/RAC1P,H_baseline/A/RAC1P,additional/A/RAC1P,absolute/AB/RAC1P,H_baseline/AB/RAC1P,additional/AB/RAC1P,absolute/B/SEX,H_baseline/B/SEX,additional/B/SEX,absolute/B/RAC1P,H_baseline/B/RAC1P,additional/B/RAC1P
A,kernel_expanded_catchup,360,unweighted,spectral_M1,0.03323283706297131,0.02817622332221768,0.038359247732038096,0.02706457391643878,0.008254734303405831,0.01880983961303295,0.02880759405789668,0.01122834051612053,0.017579253541776148,0.06702423901852776,0.015643432418732287,0.05138080659979548,0.06868515497272026,0.03012264100398219,0.03856251396873807,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_L025,0.031619837656832996,0.026378650303377865,0.03680027293422929,0.027147973568745393,0.008254734303405831,0.018893239265339562,0.029102270099333707,0.01122834051612053,0.017873929583213176,0.071306390268601,0.015643432418732287,0.055662957849868716,0.07612693016094783,0.03012264100398219,0.04600428915696564,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_L1,0.029093152792246113,0.024026243313410717,0.03408307665706128,0.02266103836864068,0.008254734303405831,0.014406304065234847,0.025223470916398382,0.01122834051612053,0.013995130400277852,0.05870068879836665,0.015643432418732287,0.04305725637963437,0.0669715980291248,0.03012264100398219,0.0368489570251426,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_C025,0.031131091325843206,0.02591079928030241,0.03640053111561345,0.025360624311321814,0.008254734303405831,0.017105890007915982,0.026530652551569302,0.01122834051612053,0.015302312035448773,0.06428350558034812,0.015643432418732287,0.04864007316161584,0.07091406899013607,0.03012264100398219,0.04079142798615387,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_C1,0.028157190949755107,0.023677377009423396,0.03267303759845453,0.019479151112246847,0.008254734303405831,0.011224416808841016,0.0210649890069889,0.01122834051612053,0.009836648490868368,0.046723117526479424,0.015643432418732287,0.031079685107747137,0.054132576964764534,0.03012264100398219,0.024009935960782342,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_L2,0.02829681913158296,0.023638284974333238,0.032804607482710725,0.019914082117251014,0.008254734303405831,0.011659347813845183,0.02212796928019466,0.01122834051612053,0.01089962876407413,0.054444636507227334,0.015643432418732287,0.03880120408849505,0.06025897968486196,0.03012264100398219,0.03013633868087977,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,person_weighted,H,0.0,0.0,0.0,0.00795434500001494,0.00795434500001494,0.0,0.008501826308126133,0.008501826308126133,0.0,0.015797050637937734,0.015797050637937734,0.0,0.030030284560922344,0.030030284560922344,0.0,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,E,0.024021381176691524,0.018127956290709235,0.02978335512536195,0.01971302038448413,0.00795434500001494,0.01175867538446919,0.018963008582766113,0.008501826308126133,0.01046118227463998,0.06978668013137922,0.015797050637937734,0.05398962949344148,0.07408203354302843,0.030030284560922344,0.04405174898210609,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,A0,0.0280677212995624,0.022567907075190408,0.033342588001666514,0.030676374650430646,0.00795434500001494,0.022722029650415705,0.030676374650430646,0.008501826308126133,0.022174548342304513,0.07415766324577328,0.015797050637937734,0.05836061260783554,0.07538327209727484,0.030030284560922344,0.0453529875363525,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
A,kernel_expanded_catchup,360,person_weighted,L025,0.01716603501700172,0.014042319741194275,0.020415224222870718,0.00799268279496838,0.00795434500001494,3.8337794953441015e-05,0.01262433309150735,0.008501826308126133,0.004122506783381217,0.02531545595625607,0.015797050637937734,0.009518405318318338,0.038785737556245585,0.030030284560922344,0.00875545299532324,-5.899533911728454e-05,-5.899533911728454e-05,0.0,0.019063316793098768,0.019063316793098768,0.0
