mode,condition,seed,weight,residence_gain_vs_H,residence_loss,pca32_residence_loss,best_bank_residence_loss,half_headroom_pass,source_excess_income_binary,source_excess_civilian_at_work,source_excess_public_coverage,source_allowance_pass
A,L20,2,person_weighted,0.01790115764221678,0.5092215048931014,0.48628121473696917,0.5037730745855304,False,0.0013662362639729198,-0.010538024956579795,0.007921571829084484,True
A,J,0,unweighted,0.01681140006525872,0.5269368740405843,0.5003832056376404,0.5164956842414223,False,-0.0017634163913178291,-0.0085701655317999,0.005791310668137817,True
A,J,0,person_weighted,0.014324569496858564,0.5097973961274546,0.4845925136468352,0.49930324019597977,False,-0.0025583679411201876,-0.00721533265901092,0.005533935488115205,True
A,J,1,unweighted,0.025814338875893794,0.5174012447639776,0.49937202910128053,0.5290456778070517,False,-0.0005913689346360718,-0.01180568195627929,0.00648179690056766,True
A,J,1,person_weighted,0.02268881470588896,0.4975876810923909,0.48282756933708343,0.5095792472930558,False,0.00010219574668346443,-0.011440673199762663,0.007117011386177929,True
A,J,2,unweighted,0.01857710347426622,0.5291894066259931,0.5014214436967052,0.5224158226702662,False,0.0014100158563872256,-0.01038991606304801,0.0074968031684421454,True
A,J,2,person_weighted,0.016084841778120307,0.5110378207571978,0.48628121473696917,0.5037730745855304,False,0.0007775483957049301,-0.011016925079167017,0.007921571829084484,True
A,spectral_S0,0,unweighted,0.029029273707589565,0.5147190003982535,0.5003832056376404,0.5164956842414223,False,0.010591333514060108,-0.00020256000202456548,0.005791310668137817,False
A,spectral_S0,0,person_weighted,0.028459076382027215,0.4956628892422859,0.4845925136468352,0.49930324019597977,False,0.0102093591706659,0.00023071416501141417,0.005533935488115205,False
A,spectral_S0,1,unweighted,0.03006022568190725,0.5131553579579642,0.49937202910128053,0.5290456778070517,True,0.008587031545051749,0.01395820413807164,0.00648179690056766,False
A,spectral_S0,1,person_weighted,0.024564977180654424,0.4957115186176254,0.48282756933708343,0.5095792472930558,True,0.007930968314586284,0.011772474740607941,0.007117011386177929,False
A,spectral_S0,2,unweighted,0.039195307079701536,0.5085712030205578,0.5014214436967052,0.5224158226702662,True,0.014710130916283704,0.010147633722594085,0.0074968031684421454,False
A,spectral_S0,2,person_weighted,0.03573370266048709,0.49138895987483105,0.48628121473696917,0.5037730745855304,True,0.014346219730112741,0.009445978391911136,0.007921571829084484,False
A,spectral_M025,0,unweighted,0.025159205061877965,0.5185890690439651,0.5003832056376404,0.5164956842414223,False,0.008613193474224234,0.0023625947097405953,0.005791310668137817,True
A,spectral_M025,0,person_weighted,0.02661447587461102,0.4975074897497021,0.4845925136468352,0.49930324019597977,False,0.008683612548133102,0.0034220361220615447,0.005533935488115205,True
A,spectral_M025,1,unweighted,0.024232364396881034,0.5189832192429904,0.49937202910128053,0.5290456778070517,False,0.013815258923814189,0.014277441668050395,0.00648179690056766,False
A,spectral_M025,1,person_weighted,0.021120138676908595,0.49915635712137124,0.48282756933708343,0.5095792472930558,False,0.012386980789857616,0.011910494543614314,0.007117011386177929,False
A,spectral_M025,2,unweighted,0.03705011171018269,0.5107163983900767,0.5014214436967052,0.5224158226702662,True,0.016511035365260607,0.012590930007962964,0.0074968031684421454,False
A,spectral_M025,2,person_weighted,0.0342394842676258,0.49288317826769235,0.48628121473696917,0.5037730745855304,True,0.015959369460532058,0.011580775558643175,0.007921571829084484,False
A,spectral_M1,0,unweighted,0.033046356903230656,0.5107019172026124,0.5003832056376404,0.5164956842414223,False,0.011136712321429154,0.002363744837229953,0.005791310668137817,False
A,spectral_M1,0,person_weighted,0.03090522703149423,0.4932167385928189,0.4845925136468352,0.49930324019597977,False,0.011250015163888405,0.0027115163576776347,0.005533935488115205,False
A,spectral_M1,1,unweighted,0.02888701064984822,0.5143285729900232,0.49937202910128053,0.5290456778070517,False,0.011813080994146852,0.013138650031973842,0.00648179690056766,False
A,spectral_M1,1,person_weighted,0.02375317530523835,0.4965233204930415,0.48282756933708343,0.5095792472930558,False,0.011045479096089716,0.010638750329064306,0.007117011386177929,False
A,spectral_M1,2,unweighted,0.03776514363583505,0.5100013664644243,0.5014214436967052,0.5224158226702662,True,0.01493852961158576,0.011917596252759122,0.0074968031684421454,False
A,spectral_M1,2,person_weighted,0.03519314409397717,0.491929518441341,0.48628121473696917,0.5037730745855304,True,0.014661434205021251,0.010269325973493837,0.007921571829084484,False
A,spectral_L025,0,unweighted,0.03005625126666145,0.5136920228391816,0.5003832056376404,0.5164956842414223,False,0.01315869276232745,0.0008234188297079337,0.005791310668137817,False
A,spectral_L025,0,person_weighted,0.027988054364400883,0.49613391125991224,0.4845925136468352,0.49930324019597977,False,0.012390141548949851,0.0014228517324502143,0.005533935488115205,False
A,spectral_L025,1,unweighted,0.028752245806254906,0.5144633378336165,0.49937202910128053,0.5290456778070517,False,0.009139421356233746,0.013726512834748184,0.00648179690056766,False
A,spectral_L025,1,person_weighted,0.024605693358077774,0.49567080244020206,0.48282756933708343,0.5095792472930558,True,0.00868747316563534,0.011322420564913671,0.007117011386177929,False
A,spectral_L025,2,unweighted,0.03605101589758264,0.5117154942026767,0.5014214436967052,0.5224158226702662,True,0.013488951637964375,0.010934877756734462,0.0074968031684421454,False
