mode,scope,seed,condition,endpoint,weight,selected_minus_routed_H_selected
B,transport_all,2,spectral_M025,A/SEX,unweighted,-0.02512400482994981
B,transport_all,2,spectral_M025,A/SEX,person_weighted,-0.02334183688413738
B,transport_all,2,spectral_M025,A/RAC1P,unweighted,-0.06472203381483488
B,transport_all,2,spectral_M025,A/RAC1P,person_weighted,-0.061261739297965745
B,transport_all,2,spectral_M025,AB/SEX,unweighted,-0.022060597029070594
B,transport_all,2,spectral_M025,AB/SEX,person_weighted,-0.019880352317983907
B,transport_all,2,spectral_M025,AB/RAC1P,unweighted,-0.05555212628936923
B,transport_all,2,spectral_M025,AB/RAC1P,person_weighted,-0.04980944349762706
B,transport_all,2,spectral_M1,A/SEX,unweighted,-0.02940443490762734
B,transport_all,2,spectral_M1,A/SEX,person_weighted,-0.023898335018411432
B,transport_all,2,spectral_M1,A/RAC1P,unweighted,-0.06229279988012415
B,transport_all,2,spectral_M1,A/RAC1P,person_weighted,-0.05477243180232305
B,transport_all,2,spectral_M1,AB/SEX,unweighted,-0.022544643741736592
B,transport_all,2,spectral_M1,AB/SEX,person_weighted,-0.018746364787581404
B,transport_all,2,spectral_M1,AB/RAC1P,unweighted,-0.056156075511245795
B,transport_all,2,spectral_M1,AB/RAC1P,person_weighted,-0.050700267957698
B,transport_all,2,spectral_L025,A/SEX,unweighted,-0.02529109404556673
B,transport_all,2,spectral_L025,A/SEX,person_weighted,-0.02222104696304872
B,transport_all,2,spectral_L025,A/RAC1P,unweighted,-0.06653321617242702
B,transport_all,2,spectral_L025,A/RAC1P,person_weighted,-0.062248996711282034
B,transport_all,2,spectral_L025,AB/SEX,unweighted,-0.019555448989569846
B,transport_all,2,spectral_L025,AB/SEX,person_weighted,-0.018934505384925582
B,transport_all,2,spectral_L025,AB/RAC1P,unweighted,-0.057926688815191474
B,transport_all,2,spectral_L025,AB/RAC1P,person_weighted,-0.05441311659086234
B,transport_all,2,spectral_L1,A/SEX,unweighted,-0.018141268588184434
B,transport_all,2,spectral_L1,A/SEX,person_weighted,-0.0166956095264178
B,transport_all,2,spectral_L1,A/RAC1P,unweighted,-0.05873345384621875
B,transport_all,2,spectral_L1,A/RAC1P,person_weighted,-0.0563142994663115
B,transport_all,2,spectral_L1,AB/SEX,unweighted,-0.017875299933965194
B,transport_all,2,spectral_L1,AB/SEX,person_weighted,-0.015596007281601265
B,transport_all,2,spectral_L1,AB/RAC1P,unweighted,-0.05086695238882499
B,transport_all,2,spectral_L1,AB/RAC1P,person_weighted,-0.04638307024222699
B,transport_all,2,spectral_C025,A/SEX,unweighted,-0.021533315889058602
B,transport_all,2,spectral_C025,A/SEX,person_weighted,-0.01925626475446285
B,transport_all,2,spectral_C025,A/RAC1P,unweighted,-0.0613854079629641
B,transport_all,2,spectral_C025,A/RAC1P,person_weighted,-0.056950674305978444
B,transport_all,2,spectral_C025,AB/SEX,unweighted,-0.016400367850032294
B,transport_all,2,spectral_C025,AB/SEX,person_weighted,-0.017480478944959965
B,transport_all,2,spectral_C025,AB/RAC1P,unweighted,-0.052005911859112075
B,transport_all,2,spectral_C025,AB/RAC1P,person_weighted,-0.04676393962045733
B,transport_all,2,spectral_C1,A/SEX,unweighted,-0.019855371321495396
B,transport_all,2,spectral_C1,A/SEX,person_weighted,-0.017534277918583863
B,transport_all,2,spectral_C1,A/RAC1P,unweighted,-0.045062094686494136
B,transport_all,2,spectral_C1,A/RAC1P,person_weighted,-0.039011488104772285
B,transport_all,2,spectral_C1,AB/SEX,unweighted,-0.014119726265498511
B,transport_all,2,spectral_C1,AB/SEX,person_weighted,-0.014247736340460726
B,transport_all,2,spectral_C1,AB/RAC1P,unweighted,-0.04339291572866233
B,transport_all,2,spectral_C1,AB/RAC1P,person_weighted,-0.037078339597543364
B,transport_all,2,spectral_L2,A/SEX,unweighted,-0.020532267242823088
B,transport_all,2,spectral_L2,A/SEX,person_weighted,-0.017937044076478448
B,transport_all,2,spectral_L2,A/RAC1P,unweighted,-0.054513043895124014
B,transport_all,2,spectral_L2,A/RAC1P,person_weighted,-0.05175054099956755
B,transport_all,2,spectral_L2,AB/SEX,unweighted,-0.016487189076067943
B,transport_all,2,spectral_L2,AB/SEX,person_weighted,-0.014912201608700548
B,transport_all,2,spectral_L2,AB/RAC1P,unweighted,-0.04898862516416602
B,transport_all,2,spectral_L2,AB/RAC1P,person_weighted,-0.044207400481559134
B,common_fresh,0,E,A/SEX,unweighted,-0.013553124635192204
B,common_fresh,0,E,A/SEX,person_weighted,-0.012594453856391907
B,common_fresh,0,E,A/RAC1P,unweighted,-0.04048451846834822
B,common_fresh,0,E,A/RAC1P,person_weighted,-0.03467824149056642
B,common_fresh,0,E,AB/SEX,unweighted,-0.013192193024660792
B,common_fresh,0,E,AB/SEX,person_weighted,-0.012378910607597216
B,common_fresh,0,E,AB/RAC1P,unweighted,-0.022168673873115496
B,common_fresh,0,E,AB/RAC1P,person_weighted,-0.018811365269709057
B,common_fresh,0,A0,A/SEX,unweighted,-0.027791570075508587
B,common_fresh,0,A0,A/SEX,person_weighted,-0.02618571405621306
B,common_fresh,0,A0,A/RAC1P,unweighted,-0.06440286381327653
B,common_fresh,0,A0,A/RAC1P,person_weighted,-0.062397170438077465
B,common_fresh,0,A0,AB/SEX,unweighted,-0.03026817683323535
B,common_fresh,0,A0,AB/SEX,person_weighted,-0.02866361993926836
B,common_fresh,0,A0,AB/RAC1P,unweighted,-0.050459415750782055
B,common_fresh,0,A0,AB/RAC1P,person_weighted,-0.049371620375290304
B,common_fresh,0,L025,A/SEX,unweighted,-0.0007638485265063499
B,common_fresh,0,L025,A/SEX,person_weighted,0.0019402315025036643
B,common_fresh,0,L025,A/RAC1P,unweighted,-0.0019484233754556435
B,common_fresh,0,L025,A/RAC1P,person_weighted,-1.3455376620008508e-05
B,common_fresh,0,L025,AB/SEX,unweighted,-0.006592294369260232
B,common_fresh,0,L025,AB/SEX,person_weighted,-0.0021522661833717205
B,common_fresh,0,L025,AB/RAC1P,unweighted,0.0005017804453417707
B,common_fresh,0,L025,AB/RAC1P,person_weighted,0.0017969253452989609
B,common_fresh,0,L20,A/SEX,unweighted,0.0005505577838067488
B,common_fresh,0,L20,A/SEX,person_weighted,0.0017694289497331983
B,common_fresh,0,L20,A/RAC1P,unweighted,-0.0017639677562735212
B,common_fresh,0,L20,A/RAC1P,person_weighted,-0.0019121695548796058
B,common_fresh,0,L20,AB/SEX,unweighted,-0.003186831370960874
B,common_fresh,0,L20,AB/SEX,person_weighted,-0.0008294135528037483
B,common_fresh,0,L20,AB/RAC1P,unweighted,-0.009841899778736396
B,common_fresh,0,L20,AB/RAC1P,person_weighted,-0.010154504607885029
B,common_fresh,0,J,A/SEX,unweighted,0.004906819898206183
B,common_fresh,0,J,A/SEX,person_weighted,0.008213152776133992
B,common_fresh,0,J,A/RAC1P,unweighted,-0.0025357594795054617
B,common_fresh,0,J,A/RAC1P,person_weighted,0.00054953611871289
B,common_fresh,0,J,AB/SEX,unweighted,-0.006060023565751083
B,common_fresh,0,J,AB/SEX,person_weighted,-0.004106521734749902
B,common_fresh,0,J,AB/RAC1P,unweighted,-0.0007544625132087646
B,common_fresh,0,J,AB/RAC1P,person_weighted,0.0018321936107537073
B,common_fresh,0,spectral_S0,A/SEX,unweighted,-0.030861958194556283
B,common_fresh,0,spectral_S0,A/SEX,person_weighted,-0.03139229059873738
B,common_fresh,0,spectral_S0,A/RAC1P,unweighted,-0.07378388400427194
B,common_fresh,0,spectral_S0,A/RAC1P,person_weighted,-0.06913961343751662
B,common_fresh,0,spectral_S0,AB/SEX,unweighted,-0.029155920835564286
B,common_fresh,0,spectral_S0,AB/SEX,person_weighted,-0.029184828739308943
B,common_fresh,0,spectral_S0,AB/RAC1P,unweighted,-0.057078177237168015
B,common_fresh,0,spectral_S0,AB/RAC1P,person_weighted,-0.05310568147461425
B,common_fresh,0,spectral_M025,A/SEX,unweighted,-0.02301876233416822
B,common_fresh,0,spectral_M025,A/SEX,person_weighted,-0.022456563264871
B,common_fresh,0,spectral_M025,A/RAC1P,unweighted,-0.0659005717033394
B,common_fresh,0,spectral_M025,A/RAC1P,person_weighted,-0.06003067588621325
B,common_fresh,0,spectral_M025,AB/SEX,unweighted,-0.025683294078349017
B,common_fresh,0,spectral_M025,AB/SEX,person_weighted,-0.025005158724227816
B,common_fresh,0,spectral_M025,AB/RAC1P,unweighted,-0.047584727108106684
B,common_fresh,0,spectral_M025,AB/RAC1P,person_weighted,-0.044163799665355885
B,common_fresh,0,spectral_M1,A/SEX,unweighted,-0.02401965921222582
B,common_fresh,0,spectral_M1,A/SEX,person_weighted,-0.02226959586846
B,common_fresh,0,spectral_M1,A/RAC1P,unweighted,-0.061046244060891874
B,common_fresh,0,spectral_M1,A/RAC1P,person_weighted,-0.05546388154890036
