left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,degenerate,adjusted_low,adjusted_high,family,critical_value
spectral_C1,spectral_L2,utility/same_residence,unweighted,0.00013962818182766673,-0.0007164870654913225,0.00257031112663475,-0.0014349395156604272,0.000427007558819907,-0.0006871775590158197,0.000997831744614074,False,-0.001229216529247131,0.0015084728929024645,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,utility/same_residence,person_weighted,-0.0003872035263421947,-0.000533970575633369,0.0009072325753570198,-0.0015348725787502349,0.0005332047446641347,-0.0014135529121053157,0.0006379125686921638,False,-0.002096481218452833,0.0013220741657684438,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0004349310050041442,-0.0011095387005038426,-0.0010228735275475392,0.0008276192130389493,0.0005725953239342802,-0.0015258233574103712,0.0007120061609008135,False,-0.0022704818390917652,0.0014006198290834769,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/A/SEX,person_weighted,-0.0007594353350610835,-0.0010301903869399144,-0.0012270383755158265,-2.107724272750952e-05,0.0007009477144368408,-0.0020828289578643773,0.0007161723359498811,False,-0.0030064413934515082,0.001487570723329341,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/AB/SEX,unweighted,-0.0010629802732057443,0.0001778124399773942,-0.0002831182605202709,-0.0030836349990743563,0.0006927875712977308,-0.0024007303053768005,0.0002828579059472498,False,-0.003283827617196703,0.0011578670707852144,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/AB/SEX,person_weighted,-0.0006346031164280105,-0.0006981279880803257,7.803497668306542e-06,-0.0012134848588720125,0.0008581362684387001,-0.0022572249215735583,0.0010928786651520828,False,-0.0033855035821717455,0.0021162973493157244,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/A/RAC1P,unweighted,-0.007721518980747874,-0.0059892725455765045,-0.009243398890975224,-0.00793188550569189,0.0009493801218182825,-0.009639397462736921,-0.005940370849465032,False,-0.010764916999607296,-0.004678120961888452,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/A/RAC1P,person_weighted,-0.007520319562671343,-0.006879674607539625,-0.009495113135726374,-0.006186170944748028,0.0011188023286503891,-0.00974241162201549,-0.005405144370692172,False,-0.01110682902527586,-0.003933810100066826,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/AB/RAC1P,unweighted,-0.006126402720097533,-0.0012533096321082071,-0.008199660750482611,-0.008926237777701782,0.0008841347343321869,-0.007884864436779125,-0.004346103950525984,False,-0.008960645650861581,-0.0032921597893334855,F4_frozen_transfer,3.2056685714364974
spectral_C1,spectral_L2,recovery/AB/RAC1P,person_weighted,-0.007868883940044962,-0.005262027033884793,-0.006944655205707556,-0.011399969580542534,0.0010827709008796396,-0.009986879189005144,-0.005795892468142167,False,-0.0113398885870608,-0.004397879293029124,F4_frozen_transfer,3.2056685714364974
J,L025,utility/same_residence,unweighted,-0.001475456130021313,0.0020557567077592598,-0.006566973051894021,8.484795407082135e-05,0.0007460345999985955,-0.0029571959861390365,-0.0001047934929675671,False,-0.00386699580044101,0.0009160835403983841,F4_frozen_transfer,3.2056685714364974
J,L025,utility/same_residence,person_weighted,-0.0005333736432886113,0.00367239242358397,-0.005831730773532717,0.0005592174200829136,0.0009608154402129649,-0.002417719921297599,0.0013545823592741278,False,-0.0036134295029302357,0.002546682216353013,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/A/SEX,unweighted,-0.003505977136158507,-0.007495639973333456,0.0,-0.0030222914351420655,0.000971626465355647,-0.005431575515561513,-0.0016044598028716688,False,-0.0066206895593250385,-0.00039126471299197633,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/A/SEX,person_weighted,-0.004908619145026264,-0.009402192258236953,0.0,-0.005323665176841838,0.0011485142793523926,-0.007223988075996541,-0.0026622993353943424,False,-0.00859037527419227,-0.0012268630158602583,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/AB/SEX,unweighted,-0.004702212332584036,-0.010859771634050063,0.0,-0.003246865363702044,0.000791020575482208,-0.006264259463316981,-0.0031868221863168016,False,-0.00723796213076696,-0.0021664625344011115,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/AB/SEX,person_weighted,-0.003792957208253015,-0.007538895081932099,0.0,-0.0038399765428269476,0.0009453538282613146,-0.005631684394952313,-0.0020157056140813496,False,-0.00682344826439749,-0.00076246615210854,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/A/RAC1P,unweighted,-0.0013961135981659643,-0.004423748418353236,-0.001642714895727159,0.0018781225195825015,0.0011123632983525988,-0.0035214697578095154,0.0008505520881465152,False,-0.00496198166371433,0.0021697544673824013,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/A/RAC1P,person_weighted,-5.0170335211183886e-05,-0.0020342457802278342,-0.001193253550417401,0.0030769883250116835,0.0012670578216022934,-0.0024227116438457403,0.0024661843477308382,False,-0.004111937772114451,0.004011597101692083,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/AB/RAC1P,unweighted,-0.0030558370483535534,0.0,-0.0035720898021150277,-0.005595421342945633,0.0010197583466515932,-0.00517110890905633,-0.0011604008061935412,False,-0.006324844330674607,0.0002131702339675007,F4_frozen_transfer,3.2056685714364974
J,L025,recovery/AB/RAC1P,person_weighted,-0.004104715078145964,0.0,-0.007208107283068456,-0.005106037951369435,0.001189171424035274,-0.006491622804635827,-0.0018340034299844847,False,-0.00791680453822623,-0.00029262561806569793,F4_frozen_transfer,3.2056685714364974
J,L20,utility/same_residence,unweighted,-0.0012679764198653503,0.004167901089461967,-0.009190211260764025,0.0012183809117060074,0.0008558706709355275,-0.002922409591742563,0.0004297533267037746,False,-0.004011614130897639,0.001475661291166939,F4_frozen_transfer,3.2056685714364974
J,L20,utility/same_residence,person_weighted,-0.0010445369120544168,0.004061972158280747,-0.009011898758539805,0.0018163158640958077,0.0010768583442076593,-0.0030886128199386336,0.0010081039311408333,False,-0.004496587861970056,0.0024075140378612223,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/A/SEX,unweighted,0.004567230460588816,-0.002015458567520672,0.01845689213565854,-0.00273974218637142,0.0021528229385027837,0.0005337925052611128,0.009216302619016051,False,-0.0023340063732371257,0.011468467294414756,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/A/SEX,person_weighted,0.0016040017616511392,-0.0027772410392705852,0.014122711468999707,-0.006533465144775705,0.0021375864315002157,-0.002199252391688865,0.00589169803333332,False,-0.005248391880538201,0.00845639540384048,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/AB/SEX,unweighted,-0.006388271690136168,-0.002198607733980158,-0.005754611114061099,-0.011211596222367247,0.0012040751751698437,-0.00873967951155241,-0.003968238982760628,False,-0.010248137636825038,-0.0025284057434472986,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/AB/SEX,person_weighted,-0.0056212931523344075,-0.0005288284163867743,-0.005154338947087063,-0.011180712093529385,0.0014705048652412427,-0.008490441527121344,-0.0027028124685965797,False,-0.010335244382982722,-0.0009073419216860928,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/A/RAC1P,unweighted,0.004274896324651992,0.0026472992843489668,0.0076752248765443315,0.0025021648130626774,0.0011923748168372068,0.002021525093518467,0.006665030815035786,False,0.00045253784894461234,0.008097254800359372,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/A/RAC1P,person_weighted,0.006656087769485279,0.008046250104444277,0.007114747203750639,0.004807266000260921,0.0014401466457806603,0.003895774873841563,0.009588898533996103,False,0.002039454928846527,0.011272720610124031,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/AB/RAC1P,unweighted,-0.0064603096710321665,-0.011097349577109249,-0.0019713099458591454,-0.006312269490128107,0.0013600529737018896,-0.0090961542947054,-0.0038542824094784313,False,-0.01082018874431706,-0.0021004305977472713,F4_frozen_transfer,3.2056685714364974
J,L20,recovery/AB/RAC1P,person_weighted,-0.005997004374509412,-0.010022566790428185,-0.002486284855158727,-0.005482161477941325,0.0015677468650487029,-0.009040300243176603,-0.0029349773367406593,False,-0.01102268122776413,-0.0009713275212546949,F4_frozen_transfer,3.2056685714364974
