beta,seed,release,split,rank,rank_tolerance,metric,coordinate,value
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,14,1.000000000000009
beta_0p1,0,beta_0p1_W,fit,17,1e-12,prior_per_coordinate_mse,15,1.000000000000005
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,0,0.8683351417869306
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,1,0.5181786864189559
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,2,0.41828479789919054
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,3,0.3651006200038154
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,4,0.2781772381867519
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,5,0.08106283699883494
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,6,0.2608018819763298
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,7,0.14486695445057826
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,8,0.104704141342515
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,9,0.14781586757838336
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,10,0.05621922156687846
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,11,0.0683981324388768
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,12,0.06683601787548163
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,13,0.031133448443978497
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,14,0.05000262383073723
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,direct_per_coordinate_mse,15,0.04222011263814356
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,0,0.17160693323386372
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,1,0.20675631714051776
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,2,0.22219988161111343
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,3,0.22376466422526206
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,4,0.2001444001861186
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,5,0.0580864731286566
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,6,0.15844813322448453
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,7,0.07454890986043047
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,8,0.09025604261583717
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,9,0.08189654680552957
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,10,0.03729564752856613
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,11,0.04383008538586457
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,12,0.05020980360340976
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,13,0.02175411906753677
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,14,0.041711475565566085
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,affine_per_coordinate_mse,15,0.028526530768590606
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,0,1.0375578121569773
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,1,1.0351422418203997
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,2,0.9750677344807709
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,3,0.9852156941423459
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,4,1.0449103277810163
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,5,1.0149874253989823
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,6,0.9938024083599571
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,7,1.0459225809466342
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,8,0.9687395256866196
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,9,0.9756343957422708
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,10,0.97858520125265
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,11,0.9488550732997493
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,12,1.0018383456210087
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,13,0.9545327194285073
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,14,1.0603772333333958
beta_0p1,0,beta_0p1_W,source_validation,17,1e-12,prior_per_coordinate_mse,15,0.9705334707511628
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,0,0.9088876448052068
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,1,0.5275560301136131
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,2,0.4226237652004644
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,3,0.3670520323366952
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,4,0.2833847757336097
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,5,0.08278556790837298
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,6,0.25202144015859934
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,7,0.14047491132907375
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,8,0.10767540153441955
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,9,0.15908539815702838
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,10,0.057424809479298
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,11,0.07131548909829839
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,12,0.07058307769831107
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,13,0.03383357575802907
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,14,0.05279855609767066
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,direct_per_coordinate_mse,15,0.04367969930512296
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,0,0.16245170933071126
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,1,0.21061153055765877
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,2,0.22906547069563854
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,3,0.22392347165795456
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,4,0.20566617662850786
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,5,0.05963883601937846
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,6,0.15734087348537343
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,7,0.0679080549886688
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,8,0.08891789186556884
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,9,0.08822284910616907
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,10,0.038700298188690384
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,11,0.04537956660533444
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,12,0.052749419747997815
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,13,0.023885517836851892
beta_0p1,0,beta_0p1_W,development_evaluation,17,1e-12,affine_per_coordinate_mse,14,0.04435685096392375
