seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,766,766.0,0.9464751958224543,0.7458847736625515,0.8342922899884925,0.9060003480539687,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2216,2216.0,0.8885379061371841,0.9796019900497512,0.9318504495977283,0.9060003480539688,True,True,,1383,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation_person_weighted,0,981,112512.0,0.3229484198742788,749,83339.0,0.9625985432990557,0.7130083902161547,0.8192146070226856,0.886581948855927,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2235,265051.0,0.8781743890798375,0.9867855416783252,0.9293173284038256,0.886581948855927,True,True,,1383,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,766,78249.0,0.9604978977367122,0.7461035995790894,0.8398339507104027,0.9049969268745207,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2216,255892.0,0.9000515842621106,0.9867570381351031,0.9414121018027831,0.9049969268745207,True,True,,1383,True
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,740,740.0,0.9445945945945946,0.7125382262996942,0.8123184195235328,0.8910205028848165,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2244,2244.0,0.8743315508021391,0.9795307039440839,0.9239463150459147,0.8910207573451241,True,True,,1383,True
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,760,760.0,0.9552631578947368,0.7469135802469136,0.8383371824480369,0.9061881948283276,True,True,,665,True
0,transfer,beta_0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2222,2222.0,0.8892889288928892,0.9830845771144279,0.9338374291115312,0.9061881948283276,True,True,,1383,True
