release,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,balanced_accuracy,3,3,True,0.5890794930851104,0.007007696957902923
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,observed_balanced_accuracy,3,3,True,0.5890794930851104,0.007007696957902923
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation_person_weighted,observed_macro_auroc,3,3,True,0.7253289301309286,0.009982081614400808
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.5087114556156564,0.012000301769653308
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,auroc,3,3,True,0.7219680397170186,0.00642287362111234
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,macro_auroc,3,3,True,0.7219680397170187,0.006422873621112257
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,accuracy,3,3,True,0.7655547931752821,0.01783162878787121
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,balanced_accuracy,3,3,True,0.588645699012912,0.0029045330236898547
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,observed_balanced_accuracy,3,3,True,0.588645699012912,0.0029045330236898547
beta_0p1_C_warmup_only,transfer,public_coverage,primary,development_evaluation_person_weighted,observed_macro_auroc,3,3,True,0.7219680397170187,0.006422873621112257
beta_0p1_C_warmup_only,audit,SEX,primary,validation,log_loss,3,3,True,0.6632000098372965,0.00581726208091498
beta_0p1_C_warmup_only,audit,SEX,primary,validation,auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,primary,validation,macro_auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,primary,validation,accuracy,3,3,True,0.5901944747786854,0.012059317421276918
beta_0p1_C_warmup_only,audit,SEX,primary,validation,balanced_accuracy,3,3,True,0.5874742329487431,0.012579028215682544
beta_0p1_C_warmup_only,audit,SEX,primary,validation,observed_balanced_accuracy,3,3,True,0.5874742329487431,0.012579028215682544
beta_0p1_C_warmup_only,audit,SEX,primary,validation,observed_macro_auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,primary,validation,signed_prior_relative_gain,3,3,True,0.029187608729525156,0.006173899964195079
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,log_loss,3,3,True,0.6591402153081856,0.00575815587004617
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,auroc,3,3,True,0.6374390366213142,0.010481420006729504
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,macro_auroc,3,3,True,0.6374390366213142,0.010481420006729447
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,accuracy,3,3,True,0.5958774489721728,0.010187333266185894
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,balanced_accuracy,3,3,True,0.5936852399571841,0.008560156722418645
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,observed_balanced_accuracy,3,3,True,0.5936852399571841,0.008560156722418645
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,observed_macro_auroc,3,3,True,0.6374390366213142,0.010481420006729447
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.03354648844848115,0.005220056450190554
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,log_loss,3,3,True,0.6643498798799015,0.0103614426364596
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,auroc,3,3,True,0.6255972151847293,0.021321813484778535
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,macro_auroc,3,3,True,0.6255972151847293,0.021321813484778535
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,accuracy,3,3,True,0.5891150878104636,0.02156737738828265
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,balanced_accuracy,3,3,True,0.5854930168714481,0.02136777805345436
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,observed_balanced_accuracy,3,3,True,0.5854930168714481,0.02136777805345436
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,observed_macro_auroc,3,3,True,0.6255972151847293,0.021321813484778535
beta_0p1_C_warmup_only,audit,SEX,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.02797513344194998,0.010370465582930415
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6637886913103315,0.003638484308401089
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,auroc,3,3,True,0.6262251009278753,0.009200753456203399
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,macro_auroc,3,3,True,0.6262251009278753,0.009200753456203399
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,accuracy,3,3,True,0.5907388641865151,0.012845457938489997
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,balanced_accuracy,3,3,True,0.586332633505094,0.011388442551804679
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,observed_balanced_accuracy,3,3,True,0.586332633505094,0.011388442551804679
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,observed_macro_auroc,3,3,True,0.6262251009278753,0.009200753456203399
beta_0p1_C_warmup_only,audit,SEX,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.028324731509656382,0.003230971186265686
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,log_loss,3,3,True,0.6632000098372965,0.00581726208091498
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,macro_auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,accuracy,3,3,True,0.5901944747786854,0.012059317421276918
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,balanced_accuracy,3,3,True,0.5874742329487431,0.012579028215682544
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,observed_balanced_accuracy,3,3,True,0.5874742329487431,0.012579028215682544
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,observed_macro_auroc,3,3,True,0.6292995000523365,0.013275191601040938
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,validation,signed_prior_relative_gain,3,3,True,0.029187608729525156,0.006173899964195079
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,development_evaluation,log_loss,3,3,True,0.6591402153081856,0.00575815587004617
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,development_evaluation,auroc,3,3,True,0.6374390366213142,0.010481420006729504
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,development_evaluation,macro_auroc,3,3,True,0.6374390366213142,0.010481420006729447
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,development_evaluation,accuracy,3,3,True,0.5958774489721728,0.010187333266185894
beta_0p1_C_warmup_only,audit,SEX,catchup_inclusive,development_evaluation,balanced_accuracy,3,3,True,0.5936852399571841,0.008560156722418645
