beta,seed,release,split,rank,rank_tolerance,rows,direct_mean_mse,affine_mean_mse,prior_mean_mse
beta_1,1,beta_1_D_persistent,fit,17,1e-12,10428,0.010988376209451797,0.008665160464621357,0.9999999999999988
beta_1,1,beta_1_D_persistent,source_validation,17,1e-12,3010,0.010612063520217969,0.008385321105128402,0.9873457505540115
beta_1,1,beta_1_D_persistent,development_evaluation,17,1e-12,3015,0.010664630912972439,0.008386076764152442,0.9774213066931422
beta_1,2,beta_1_W,fit,17,1e-12,10551,0.013818891207325526,0.006334303511559799,1.0000000000000004
beta_1,2,beta_1_W,source_validation,17,1e-12,2979,0.013672700851376398,0.006289139025735084,0.9849200195328053
beta_1,2,beta_1_W,development_evaluation,17,1e-12,2979,0.014036610452535634,0.0068593730106862654,1.0155605102798333
beta_1,2,beta_1_C_warmup_only,fit,17,1e-12,10551,1.401623903480282,0.26657902074885226,1.0000000000000004
beta_1,2,beta_1_C_warmup_only,source_validation,17,1e-12,2979,1.364226970198318,0.26182328947057504,0.9849200195328053
beta_1,2,beta_1_C_warmup_only,development_evaluation,17,1e-12,2979,1.4131368281323666,0.2728616157565278,1.0155605102798333
beta_1,2,beta_1_D_warmup_only,fit,17,1e-12,10551,2.071571668043602,0.3473638946030396,1.0000000000000004
beta_1,2,beta_1_D_warmup_only,source_validation,17,1e-12,2979,2.034867678129761,0.3394127843330918,0.9849200195328053
beta_1,2,beta_1_D_warmup_only,development_evaluation,17,1e-12,2979,2.089189601140491,0.35211579850786273,1.0155605102798333
beta_1,2,beta_1_C_persistent,fit,17,1e-12,10551,0.010741477005411167,0.00854477714733495,1.0000000000000004
beta_1,2,beta_1_C_persistent,source_validation,17,1e-12,2979,0.010504525858200147,0.008351006475612242,0.9849200195328053
beta_1,2,beta_1_C_persistent,development_evaluation,17,1e-12,2979,0.011455586233536603,0.009242458187447445,1.0155605102798333
beta_1,2,beta_1_D_persistent,fit,17,1e-12,10551,0.011120527274565363,0.008602808663868465,1.0000000000000004
beta_1,2,beta_1_D_persistent,source_validation,17,1e-12,2979,0.010859178738660267,0.008399929219749719,0.9849200195328053
beta_1,2,beta_1_D_persistent,development_evaluation,17,1e-12,2979,0.011785527573259279,0.009267102049918409,1.0155605102798333
