beta,seed,release,point,source_mapper_l2,source_first_weight_l2,reconstruction_mapper_l2,reconstruction_first_weight_l2,base_mapper_l2,base_first_weight_l2,protection_mapper_l2,protection_first_weight_l2,base_loss,normalized_adversary_ce,protected_objective,protection_source_decoder_gradient_l2,protection_source_decoder_gradients_all_absent,preservation_mapper_l2,applied_preservation_mapper_l2,preservation_loss,preservation_coefficient,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,protection_coefficient,applied_protection_mapper_l2,training_state_unchanged,torch_rng_unchanged,optimizer_steps
beta_1,0,shared,shared_fork,0.1943930983543396,0.11880477517843246,0.03558313846588135,0.014784594066441059,0.1965782344341278,0.12018638104200363,0.02952708676457405,0.013160337693989277,0.39779892563819885,0.902645468711853,0.3075343668460846,0.0,True,0.1597144603729248,0.1597144603729248,0.014196605421602726,1.0,True,1.0,0.1,-0.1,0.02952708676457405,True,True,0
beta_1,0,beta_1_C_warmup_only,shared_fork,0.1943930983543396,0.11880477517843246,0.03558313846588135,0.014784594066441059,0.1965782344341278,0.12018638104200363,0.02952708676457405,0.013160337693989277,0.39779892563819885,0.902645468711853,0.3075343668460846,0.0,True,0.1597144603729248,0.0,0.014196605421602726,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,0,beta_1_C_warmup_only,final,0.30899399518966675,0.21818269789218903,0.019620085135102272,0.008530519902706146,0.30756086111068726,0.21749864518642426,0.07853216677904129,0.0400807186961174,0.32758206129074097,0.821509838104248,0.2454310655593872,0.0,True,2.634711503982544,0.0,1.3232574462890625,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,0,beta_1_D_warmup_only,shared_fork,0.1943930983543396,0.11880477517843246,0.03558313846588135,0.014784594066441059,0.1965782344341278,0.12018638104200363,0.02952708676457405,0.013160337693989277,0.39779892563819885,0.902645468711853,0.3075343668460846,0.0,True,0.1597144603729248,0.0,0.014196605421602726,0.0,True,1.0,0.1,-0.1,0.02952708676457405,True,True,0
beta_1,0,beta_1_D_warmup_only,final,0.3059581518173218,0.2197827249765396,0.03421146050095558,0.008688906207680702,0.30744320154190063,0.21941936016082764,0.08164787292480469,0.03453800454735756,0.32885268330574036,0.8830476999282837,0.24054791033267975,0.0,True,3.767402410507202,0.0,1.6669970750808716,0.0,True,1.0,0.1,-0.1,0.08164787292480469,True,True,0
beta_1,0,beta_1_C_persistent,shared_fork,0.1943930983543396,0.11880477517843246,0.03558313846588135,0.014784594066441059,0.1965782344341278,0.12018638104200363,0.02952708676457405,0.013160337693989277,0.39779892563819885,0.902645468711853,0.3075343668460846,0.0,True,0.1597144603729248,0.1597144603729248,0.014196605421602726,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,0,beta_1_C_persistent,final,0.2617625296115875,0.16967765986919403,0.06678345799446106,0.027467571198940277,0.27188050746917725,0.17446425557136536,0.07826358079910278,0.03675048053264618,0.3711528480052948,0.8312236070632935,0.2880304753780365,0.0,True,0.10550481826066971,0.10550481826066971,0.009915413334965706,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,0,beta_1_D_persistent,shared_fork,0.1943930983543396,0.11880477517843246,0.03558313846588135,0.014784594066441059,0.1965782344341278,0.12018638104200363,0.02952708676457405,0.013160337693989277,0.39779892563819885,0.902645468711853,0.3075343668460846,0.0,True,0.1597144603729248,0.1597144603729248,0.014196605421602726,1.0,True,1.0,0.1,-0.1,0.02952708676457405,True,True,0
beta_1,0,beta_1_D_persistent,final,0.26933836936950684,0.17049793899059296,0.07097898423671722,0.027803855016827583,0.28105977177619934,0.1753123253583908,0.08076176792383194,0.035071276128292084,0.37207573652267456,0.8293725252151489,0.2891384959220886,0.0,True,0.11463087797164917,0.11463087797164917,0.009958500042557716,1.0,True,1.0,0.1,-0.1,0.08076176792383194,True,True,0
beta_1,1,shared,initialization,0.28667014837265015,0.059842098504304886,0.008062081411480904,0.0035573283676058054,0.2865167558193207,0.059599366039037704,0.0,0.0,0.8089811205863953,0.0,0.8089811205863953,0.0,False,2.9076639762593004e-08,2.9076639762593004e-08,1.4696623028254661e-15,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,1,shared,after_base_warmup,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.0,0.0,0.4002935290336609,0.0,0.4002935290336609,0.0,False,0.13829074800014496,0.13829074800014496,0.013044720515608788,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,1,shared,shared_fork,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.03695090487599373,0.014009636826813221,0.4002935290336609,0.9310418963432312,0.30718934535980225,0.0,True,0.13829074800014496,0.13829074800014496,0.013044720515608788,1.0,True,1.0,0.1,-0.1,0.03695090487599373,True,True,0
beta_1,1,beta_1_C_warmup_only,shared_fork,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.03695090487599373,0.014009636826813221,0.4002935290336609,0.9310418963432312,0.30718934535980225,0.0,True,0.13829074800014496,0.0,0.013044720515608788,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,1,beta_1_C_warmup_only,final,0.30092287063598633,0.22833533585071564,0.024242259562015533,0.007915772497653961,0.30113980174064636,0.22766953706741333,0.08248822391033173,0.04171457886695862,0.33845770359039307,0.8239530920982361,0.256062388420105,0.0,True,4.442754745483398,0.0,1.6688995361328125,0.0,True,1.0,0.1,0.0,0.0,True,True,0
