family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
secondary,secondary|D1|D17|attack:A/SEX|U,D1,D1,P,D17,attack:A/SEX,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:A/SEX|PWGTP,D1,D1,P,D17,attack:A/SEX,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:A/RAC1P|U,D1,D1,P,D17,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:A/RAC1P|PWGTP,D1,D1,P,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:AB/SEX|U,D1,D1,P,D17,attack:AB/SEX,U,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:AB/SEX|PWGTP,D1,D1,P,D17,attack:AB/SEX,PWGTP,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:AB/RAC1P|U,D1,D1,P,D17,attack:AB/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D1|D17|attack:AB/RAC1P|PWGTP,D1,D1,P,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|R1|D17|utility:A/same_residence|U,R1,R1,P,D17,utility:A/same_residence,U,task,0.001,0.0020180000949039877,0.0005932828356899959,-4.707293501264717e-05,0.004083073124820622,False,False,False,False,0.0045877017909581414,0.0,0.0014662984937538223
secondary,secondary|R1|D17|utility:A/same_residence|PWGTP,R1,R1,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0021818997820102393,0.0006646118668108324,-0.0001314522297960574,0.0044952517938165355,False,False,False,False,0.005131672913388981,0.0,0.0014140264326417365
secondary,secondary|R1|D17|attack:A/SEX|U,R1,R1,P,D17,attack:A/SEX,U,guard,0.001,-0.0004879026974335015,0.00015477545853588643,-0.00102663836596791,5.083297110090683e-05,True,True,False,False,-0.0014220880548913863,0.0,-4.162003740911823e-05
secondary,secondary|R1|D17|attack:A/SEX|PWGTP,R1,R1,P,D17,attack:A/SEX,PWGTP,guard,0.001,-0.00022400970289491217,0.00016265359197938244,-0.0007901672348670632,0.00034214782907723894,True,True,False,False,-0.0006515446060233647,0.0,-2.0484502661371852e-05
