seed,role,release,target,family,selected,effective_family,fallback_reason,fit_rows,fit_support,fit_coverage_complete,split,eligible_n,missing_or_inapplicable,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,audit,B_rich_bank,SEX,mlp,True,mlp,,2993,"[1512,1481]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6727526434331302,1e-12,0.5747820254862508,0.5746990859126827,0.5746990859126827,0.6169270026723908,0.6169270026723908,0.6169270026723908
0,audit,B_rich_bank,SEX,mlp,True,mlp,,2993,"[1512,1481]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6725430492380639,1e-12,0.5814281994726777,0.5808067712546187,0.5808067712546187,0.6165629129316423,0.6165629129316423,0.6165629129316423
0,audit,B_rich_bank,SEX,histgb,False,histgb,,2993,"[1512,1481]",True,validation,2985,0,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6800494548234555,1e-12,0.5822445561139028,0.581617685389744,0.581617685389744,0.6252691888024648,0.6252691888024648,0.6252691888024648
0,audit,B_rich_bank,SEX,histgb,False,histgb,,2993,"[1512,1481]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.7021359138895301,1e-12,0.5539906103286385,0.5544130464534996,0.5544130464534996,0.5894206458397862,0.5894206458397862,0.5894206458397862
0,audit,B_rich_bank,SEX,histgb,False,histgb,,2993,"[1512,1481]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.7068139807685475,1e-12,0.5411039052376093,0.5414653019934481,0.5414653019934481,0.5765697334229682,0.5765697334229682,0.5765697334229682
0,audit,B_rich_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2586695779023367,1e-12,0.580569514237856,,0.1271004245826137,,,0.550919192829489
0,audit,B_rich_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",False,2982.0,"[1685,130,22,0,9,486,7,465,178]","[1685.0,130.0,22.0,0.0,9.0,486.0,7.0,465.0,178.0]","[0.5650570087189806,0.043594902749832326,0.007377598926894702,0.0,0.0030181086519114686,0.16297786720321933,0.002347417840375587,0.15593561368209255,0.059691482226693494]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2536753561944252,1e-12,0.5603621730382293,,0.12414444200217363,,,0.6017911842296118
0,audit,B_rich_bank,RAC1P,logistic,False,logistic,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test_person_weighted,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",True,334141.0,"[1685,130,22,0,9,486,7,465,178]","[192470.0,16914.0,1406.0,0.0,1091.0,48866.0,581.0,56173.0,16640.0]","[0.5760143173091599,0.05061934931660586,0.004207804489721405,0.0,0.0032650886901038783,0.14624365163209543,0.0017387869192945493,0.16811166543465184,0.04979933620836713]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2231879497925375,1e-12,0.5727731706076178,,0.12439207182955782,,,0.5875787009075035
0,audit,B_rich_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2417514122097586,1e-12,0.5812395309882747,,0.12485607369027057,,,0.5557688783800134
0,audit,B_rich_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",False,2982.0,"[1685,130,22,0,9,486,7,465,178]","[1685.0,130.0,22.0,0.0,9.0,486.0,7.0,465.0,178.0]","[0.5650570087189806,0.043594902749832326,0.007377598926894702,0.0,0.0030181086519114686,0.16297786720321933,0.002347417840375587,0.15593561368209255,0.059691482226693494]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2386867425698882,1e-12,0.5657276995305164,,0.12551440329218108,,,0.5874098341759948
0,audit,B_rich_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test_person_weighted,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",True,334141.0,"[1685,130,22,0,9,486,7,465,178]","[192470.0,16914.0,1406.0,0.0,1091.0,48866.0,581.0,56173.0,16640.0]","[0.5760143173091599,0.05061934931660586,0.004207804489721405,0.0,0.0032650886901038783,0.14624365163209543,0.0017387869192945493,0.16811166543465184,0.04979933620836713]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2079823526595446,1e-12,0.5765111135718155,,0.1254246306225187,,,0.5747427347047056
0,audit,B_rich_bank,RAC1P,histgb,False,histgb,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.4751909466451545,1e-12,0.5313232830820771,,0.15588985081675852,,,0.5548335178497545
